RECORDING_SESSION_LABEL	DATA_FILE	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	95.00	2014	0.5461	0.4444	4	Pre_Targ 	1	.	2	3688	9	Filler	(477, 554)	horn1.jpg	Pre	20093729	20089512	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	86.50	546	0.1480	0.2222	2	Pre_D1 	2	.	1	3688	9	Filler	(477, 554)	horn1.jpg	Pre	20093729	20089512	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	90.00	594	0.1611	0.1111	1	Pre_D2 	3	.	1	3688	9	Filler	(477, 554)	horn1.jpg	Pre	20093729	20089512	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	82.00	1164	0.3196	0.2857	4	Pre_Targ 	1	.	3	3642	14	Filler	(147, 90)	champagne.jpg	Pre	20103619	20099402	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	80.20	1440	0.3954	0.3571	5	Pre_D1 	2	.	2	3642	14	Filler	(147, 90)	champagne.jpg	Pre	20103619	20099402	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	76.25	732	0.2010	0.2857	4	Pre_D2 	3	.	2	3642	14	Filler	(147, 90)	champagne.jpg	Pre	20103619	20099402	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	92.00	396	0.1011	0.1000	1	Pre_Targ 	1	.	1	3918	10	Filler	(147, 90)	button1.jpg	Pre	20113536	20109320	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	81.50	1164	0.2971	0.2000	2	Pre_D1 	2	.	2	3918	10	Filler	(147, 90)	button1.jpg	Pre	20113536	20109320	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	88.40	2080	0.5309	0.5000	5	Pre_D2 	3	.	2	3918	10	Filler	(147, 90)	button1.jpg	Pre	20113536	20109320	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	93.20	1154	0.3127	0.3333	5	Pre_Targ 	1	.	1	3690	15	Filler	(753, 90)	bow1.jpg	Pre	20127426	20123208	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	99.33	1116	0.3024	0.2000	3	Pre_D1 	2	.	2	3690	15	Filler	(753, 90)	bow1.jpg	Pre	20127426	20123208	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	90.60	1182	0.3203	0.3333	5	Pre_D2 	3	.	2	3690	15	Filler	(753, 90)	bow1.jpg	Pre	20127426	20123208	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	74.00	298	0.0765	0.0769	1	Pre_Targ 	1	.	1	3896	13	Filler	(147, 90)	colander.jpg	Pre	20146221	20142003	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	92.00	154	0.0395	0.0769	1	Pre_D1 	2	.	1	3896	13	Filler	(147, 90)	colander.jpg	Pre	20146221	20142003	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	82.00	316	0.0811	0.1538	2	Pre_D2 	3	.	1	3896	13	Filler	(147, 90)	colander.jpg	Pre	20146221	20142003	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	89.50	482	0.1258	0.1667	2	Pre_Targ 	1	.	2	3832	12	Filler	(477, 554)	razor1.jpg	Pre	20156151	20151933	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	72.00	264	0.0689	0.0833	1	Pre_D1 	2	.	1	3832	12	Filler	(477, 554)	razor1.jpg	Pre	20156151	20151933	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	77.50	432	0.1127	0.1667	2	Pre_D2 	3	.	2	3832	12	Filler	(477, 554)	razor1.jpg	Pre	20156151	20151933	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	87.00	734	0.1811	0.1667	1	Pre_Targ 	1	.	1	4054	6	Same_Ambig_dog1.jpg	(477, 554)	dog1.jpg	Pre	20166827	20162610	Same	Ambig
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	85.00	484	0.1194	0.1667	1	Pre_D1 	2	.	1	4054	6	Same_Ambig_dog1.jpg	(477, 554)	dog1.jpg	Pre	20166827	20162610	Same	Ambig
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	4054	6	Same_Ambig_dog1.jpg	(477, 554)	dog1.jpg	Pre	20166827	20162610	Same	Ambig
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	82.00	406	0.1189	0.0833	1	Pre_Targ 	1	.	1	3414	12	Filler	(477, 554)	pie1.jpg	Pre	20176198	20171981	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	76.00	452	0.1324	0.0833	1	Pre_D1 	2	.	1	3414	12	Filler	(477, 554)	pie1.jpg	Pre	20176198	20171981	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	82.50	506	0.1482	0.1667	2	Pre_D2 	3	.	2	3414	12	Filler	(477, 554)	pie1.jpg	Pre	20176198	20171981	Filler	Filler
AdSubjExpt1-13	AdSubjExpt1-13	RIGHT	87.20	3010	0.7544	0.7143	10	Pre_Targ 	1	.	4	3990	14	Same_Ambig_bike1.jpg	(477, 554)	bike1.jpg	Pre	20185382	20181166	Same	Ambig
