RECORDING_SESSION_LABEL	DATA_FILE	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
nf-9	nf-9.edf	RIGHT	94.67	798	1.0000	1.0000	3	Pre_Targ 	1	.	1	798	3	Filler	(477, 554)	horn1.jpg	Reward	20097215	20096549	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	798	3	Filler	(477, 554)	horn1.jpg	Reward	20097215	20096549	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	798	3	Filler	(477, 554)	horn1.jpg	Reward	20097215	20096549	Filler	Filler
nf-9	nf-9.edf	RIGHT	110.33	1002	1.0000	1.0000	3	Pre_Targ 	1	.	1	1002	3	Filler	(147, 90)	champagne.jpg	Reward	20107106	20106440	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	1002	3	Filler	(147, 90)	champagne.jpg	Reward	20107106	20106440	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	1002	3	Filler	(147, 90)	champagne.jpg	Reward	20107106	20106440	Filler	Filler
nf-9	nf-9.edf	RIGHT	106.00	662	1.0000	1.0000	2	Pre_Targ 	1	.	1	662	2	Filler	(147, 90)	button1.jpg	Reward	20116703	20116037	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	662	2	Filler	(147, 90)	button1.jpg	Reward	20116703	20116037	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	662	2	Filler	(147, 90)	button1.jpg	Reward	20116703	20116037	Filler	Filler
nf-9	nf-9.edf	RIGHT	113.50	1076	1.0000	1.0000	2	Pre_Targ 	1	.	1	1076	2	Filler	(753, 90)	bow1.jpg	Reward	20131379	20130713	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	1076	2	Filler	(753, 90)	bow1.jpg	Reward	20131379	20130713	Filler	Filler
