RECORDING_SESSION_LABEL	DATA_FILE	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
nf-9	nf-9.edf	RIGHT	100.00	2230	0.8259	0.7500	6	Pre_Targ 	1	.	1	2700	8	Filler	(477, 554)	horn1.jpg	Target	20096514	20093764	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	2700	8	Filler	(477, 554)	horn1.jpg	Target	20096514	20093764	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	2700	8	Filler	(477, 554)	horn1.jpg	Target	20096514	20093764	Filler	Filler
nf-9	nf-9.edf	RIGHT	98.25	2490	0.9188	0.8889	8	Pre_Targ 	1	.	1	2710	9	Filler	(147, 90)	champagne.jpg	Target	20106405	20103654	Filler	Filler
nf-9	nf-9.edf	RIGHT	78.00	220	0.0812	0.1111	1	Pre_D1 	2	.	1	2710	9	Filler	(147, 90)	champagne.jpg	Target	20106405	20103654	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	2710	9	Filler	(147, 90)	champagne.jpg	Target	20106405	20103654	Filler	Filler
nf-9	nf-9.edf	RIGHT	99.33	2068	0.7648	0.7500	3	Pre_Targ 	1	.	1	2704	4	Filler	(147, 90)	button1.jpg	Target	20116002	20113571	Filler	Filler
nf-9	nf-9.edf	RIGHT	88.00	636	0.2352	0.2500	1	Pre_D1 	2	.	1	2704	4	Filler	(147, 90)	button1.jpg	Target	20116002	20113571	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	2704	4	Filler	(147, 90)	button1.jpg	Target	20116002	20113571	Filler	Filler
nf-9	nf-9.edf	RIGHT	94.83	3254	0.7999	0.7500	6	Pre_Targ 	1	.	1	4068	8	Filler	(753, 90)	bow1.jpg	Target	20130678	20127461	Filler	Filler
nf-9	nf-9.edf	RIGHT	90.00	618	0.1519	0.1250	1	Pre_D1 	2	.	1	4068	8	Filler	(753, 90)	bow1.jpg	Target	20130678	20127461	Filler	Filler
nf-9	nf-9.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	4068	8	Filler	(753, 90)	bow1.jpg	Target	20130678	20127461	Filler	Filler
nf-9	nf-9.edf	RIGHT	109.80	3116	0.8444	0.8333	5	Pre_Targ 	1	.	1	3690	6	Filler	(147, 90)	colander.jpg	Target	20149126	20146256	Filler	Filler
