RECORDING_SESSION_LABEL	trialnum	cond	type	targname	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_INTEREST_AREA_LABEL	IP_LABEL	CURRENT_SAC_NEAREST_END_INTEREST_AREA_LABEL	CURRENT_SAC_NEAREST_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_TIME	IP_START_TIME
nf-9	Filler	Filler	Filler	horn1.jpg	.	Pre_D1 	Pre	Pre_D1 	Pre_Targ 	292	20089512
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	648	20089512
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_D1 	Pre_Targ 	Pre	Pre_Targ 	Pre_D1 	894	20089512
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	1366	20089512
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	1582	20089512
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	3002	20089512
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	3732	20089512
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_Targ 	.	Pre	Pre_D1 	Pre_Targ 	3986	20089512
nf-9	Filler	Filler	Filler	champagne.jpg	.	Pre_Targ 	Pre	Pre_Targ 	Pre_D1 	360	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	522	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_Targ 	Pre_D1 	Pre	Pre_D1 	Pre_Targ 	716	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	908	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_D1 	Pre_D2 	Pre	Pre_D2 	Pre_D1 	1570	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	1916	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_D2 	Pre_Targ 	Pre	Pre_Targ 	Pre_D2 	2048	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	2664	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	2944	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_D2 	Pre_Targ 	Pre	Pre_Targ 	Pre_D2 	3280	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_Targ 	Pre_D1 	Pre	Pre_D1 	Pre_Targ 	3644	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	4054	20099402
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	4254	20099402
nf-9	Filler	Filler	Filler	button1.jpg	.	.	Pre	Pre_Targ 	Pre_D1 	104	20109320
nf-9	Filler	Filler	Filler	button1.jpg	.	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	336	20109320
nf-9	Filler	Filler	Filler	button1.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	782	20109320
