RECORDING_SESSION_LABEL	trialnum	cond	type	targname	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_INTEREST_AREA_LABEL	IP_LABEL	CURRENT_SAC_NEAREST_END_INTEREST_AREA_LABEL	CURRENT_SAC_NEAREST_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_TIME	IP_START_TIME
nf-9	Filler	Filler	Filler	horn1.jpg	.	.	Target	Pre_Targ 	Pre_D1 	4520	20093764
nf-9	Filler	Filler	Filler	horn1.jpg	.	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4812	20093764
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5044	20093764
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5872	20093764
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6056	20093764
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6312	20093764
nf-9	Filler	Filler	Filler	horn1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6964	20093764
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_D1 	Pre_Targ 	Target	Pre_Targ 	Pre_D1 	4520	20103654
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4704	20103654
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4908	20103654
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5290	20103654
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5646	20103654
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6206	20103654
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6496	20103654
nf-9	Filler	Filler	Filler	champagne.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6758	20103654
nf-9	Filler	Filler	Filler	button1.jpg	Pre_D1 	Pre_Targ 	Target	Pre_Targ 	Pre_D1 	4538	20113571
nf-9	Filler	Filler	Filler	button1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4840	20113571
nf-9	Filler	Filler	Filler	button1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5652	20113571
nf-9	Filler	Filler	Filler	button1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6792	20113571
nf-9	Filler	Filler	Filler	bow1.jpg	Pre_D1 	.	Target	Pre_Targ 	Pre_D1 	4488	20127461
nf-9	Filler	Filler	Filler	bow1.jpg	.	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4714	20127461
nf-9	Filler	Filler	Filler	bow1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4866	20127461
nf-9	Filler	Filler	Filler	bow1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5372	20127461
nf-9	Filler	Filler	Filler	bow1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6010	20127461
nf-9	Filler	Filler	Filler	bow1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6786	20127461
nf-9	Filler	Filler	Filler	bow1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	7180	20127461
nf-9	Filler	Filler	Filler	colander.jpg	.	Pre_Targ 	Target	Pre_Targ 	Pre_D1 	4510	20146256
nf-9	Filler	Filler	Filler	colander.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4674	20146256
nf-9	Filler	Filler	Filler	colander.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5526	20146256
nf-9	Filler	Filler	Filler	colander.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6320	20146256
nf-9	Filler	Filler	Filler	colander.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6966	20146256
nf-9	Filler	Filler	Filler	razor1.jpg	.	.	Target	Pre_Targ 	Pre_D2 	4518	20156186
nf-9	Filler	Filler	Filler	razor1.jpg	.	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4992	20156186
nf-9	Filler	Filler	Filler	razor1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6556	20156186
nf-9	Filler	Filler	Filler	razor1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6894	20156186
nf-9	Filler	Filler	Filler	razor1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	7136	20156186
nf-9	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	.	.	Target	Pre_Targ 	Pre_Targ 	4478	20166862
nf-9	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	.	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4684	20166862
