Subj	trialnum	Label	StartTime
AdSubjExpt1-3	Homoph_Ambig_lock1.jpg	1	846
AdSubjExpt1-3	Homoph_Ambig_mouse1.jpg	1	661
AdSubjExpt1-3	Homoph_Ambig_mussel1.jpg	0	841
AdSubjExpt1-3	Homoph_Ambig_pie1.jpg	1	636
AdSubjExpt1-3	Homoph_Ambig_pipe1.jpg	0	735
AdSubjExpt1-3	Homoph_Ambig_razor1.jpg	0	1494
AdSubjExpt1-3	Homoph_Ambig_sale1.jpg	1	590
AdSubjExpt1-3	Homoph_Ambig_sponge1.jpg	1	2041
AdSubjExpt1-3	Homoph_Control_bat1.jpg	1	915
AdSubjExpt1-3	Homoph_Control_bow1.jpg	1	892
AdSubjExpt1-3	Homoph_Control_button1.jpg	1	815
AdSubjExpt1-3	Homoph_Control_cork1.jpg	1	805
AdSubjExpt1-3	Homoph_Control_diamond1.jpg	1	703
AdSubjExpt1-3	Homoph_Control_flour1.jpg	1	940
AdSubjExpt1-3	Homoph_Control_glass1.jpg	1	876
AdSubjExpt1-3	Homoph_Control_horn1.jpg	0	1053
AdSubjExpt1-4	Homoph_Ambig_lock1.jpg	1	827
AdSubjExpt1-4	Homoph_Ambig_mouse1.jpg	1	1004
AdSubjExpt1-4	Homoph_Ambig_mussel1.jpg	0	1674
AdSubjExpt1-4	Homoph_Ambig_pie1.jpg	1	895
AdSubjExpt1-4	Homoph_Ambig_pipe1.jpg	1	1482
AdSubjExpt1-4	Homoph_Ambig_razor1.jpg	1	890
AdSubjExpt1-4	Homoph_Ambig_sale1.jpg	0	873
AdSubjExpt1-4	Homoph_Ambig_sponge1.jpg	1	1112
AdSubjExpt1-4	Homoph_Control_bat1.jpg	0	787
AdSubjExpt1-4	Homoph_Control_bow1.jpg	1	1017
AdSubjExpt1-4	Homoph_Control_button1.jpg	0	2555
AdSubjExpt1-4	Homoph_Control_cork1.jpg	1	570
AdSubjExpt1-4	Homoph_Control_diamond1.jpg	1	910
AdSubjExpt1-4	Homoph_Control_flour1.jpg	1	1240
AdSubjExpt1-4	Homoph_Control_glass1.jpg	1	653
AdSubjExpt1-4	Homoph_Control_horn1.jpg	1	968
AdSubjExpt1-1	Homoph_Ambig_bat1.jpg	1	837
AdSubjExpt1-1	Homoph_Ambig_bow1.jpg	0	1111
AdSubjExpt1-1	Homoph_Ambig_button1.jpg	0	4707
AdSubjExpt1-1	Homoph_Ambig_cork1.jpg	0	1709
AdSubjExpt1-1	Homoph_Ambig_diamond1.jpg	1	787
AdSubjExpt1-1	Homoph_Ambig_flour1.jpg	1	864
AdSubjExpt1-1	Homoph_Ambig_glass1.jpg	0	3052
AdSubjExpt1-1	Homoph_Ambig_horn1.jpg	1	2134
AdSubjExpt1-1	Homoph_Control_lock1.jpg	0	625
AdSubjExpt1-1	Homoph_Control_mouse1.jpg	1	742
AdSubjExpt1-1	Homoph_Control_mussel1.jpg	0	2071
AdSubjExpt1-1	Homoph_Control_pie1.jpg	1	1303
AdSubjExpt1-1	Homoph_Control_pipe1.jpg	1	1119
AdSubjExpt1-1	Homoph_Control_razor1.jpg	0	1071
AdSubjExpt1-1	Homoph_Control_sale1.jpg	0	1741
AdSubjExpt1-1	Homoph_Control_sponge1.jpg	0	2125
AdSubjExpt1-5	Homoph_Ambig_bat2.jpg	1	632
AdSubjExpt1-5	Homoph_Ambig_bow2.jpg	1	1121
AdSubjExpt1-5	Homoph_Ambig_button2.jpg	1	696
AdSubjExpt1-5	Homoph_Ambig_cork2.jpg	1	454
AdSubjExpt1-5	Homoph_Ambig_diamond2.jpg	0	1191
AdSubjExpt1-5	Homoph_Ambig_flour2.jpg	0	626
AdSubjExpt1-5	Homoph_Ambig_glass2.jpg	1	892
AdSubjExpt1-5	Homoph_Ambig_horn2.jpg	1	1071
AdSubjExpt1-5	Homoph_Control_lock2.jpg	1	435
AdSubjExpt1-5	Homoph_Control_mouse2.jpg	1	738
AdSubjExpt1-5	Homoph_Control_mussel2.jpg	0	1000
AdSubjExpt1-5	Homoph_Control_pie2.jpg	0	525
AdSubjExpt1-5	Homoph_Control_pipe2.jpg	1	550
AdSubjExpt1-5	Homoph_Control_razor2.jpg	1	772
AdSubjExpt1-5	Homoph_Control_sale2.jpg	1	879
AdSubjExpt1-5	Homoph_Control_sponge2.jpg	1	459
AdSubjExpt1-7	Homoph_Ambig_lock2.jpg	1	1016
AdSubjExpt1-7	Homoph_Ambig_mouse2.jpg	1	2108
AdSubjExpt1-7	Homoph_Ambig_mussel2.jpg	0	1047
AdSubjExpt1-7	Homoph_Ambig_pie2.jpg	0	607
AdSubjExpt1-7	Homoph_Ambig_pipe2.jpg	1	917
AdSubjExpt1-7	Homoph_Ambig_razor2.jpg	0	805
AdSubjExpt1-7	Homoph_Ambig_sale2.jpg	0	1318
AdSubjExpt1-7	Homoph_Ambig_sponge2.jpg	0	632
AdSubjExpt1-7	Homoph_Control_bat2.jpg	1	719
AdSubjExpt1-7	Homoph_Control_bow2.jpg	1	957
AdSubjExpt1-7	Homoph_Control_button2.jpg	1	694
AdSubjExpt1-7	Homoph_Control_cork2.jpg	1	1034
AdSubjExpt1-7	Homoph_Control_diamond2.jpg	1	778
AdSubjExpt1-7	Homoph_Control_flour2.jpg	1	648
AdSubjExpt1-7	Homoph_Control_glass2.jpg	1	1131
AdSubjExpt1-7	Homoph_Control_horn2.jpg	1	2707
AdSubjExpt1-6	Homoph_Ambig_bat2.jpg	1	980
AdSubjExpt1-6	Homoph_Ambig_bow2.jpg	1	997
AdSubjExpt1-6	Homoph_Ambig_button2.jpg	1	875
AdSubjExpt1-6	Homoph_Ambig_cork2.jpg	1	1606
AdSubjExpt1-6	Homoph_Ambig_diamond2.jpg	0	1853
AdSubjExpt1-6	Homoph_Ambig_flour2.jpg	1	966
AdSubjExpt1-6	Homoph_Ambig_glass2.jpg	0	1088
AdSubjExpt1-6	Homoph_Ambig_horn2.jpg	0	2065
AdSubjExpt1-6	Homoph_Control_lock2.jpg	1	1725
AdSubjExpt1-6	Homoph_Control_mouse2.jpg	1	875
AdSubjExpt1-6	Homoph_Control_mussel2.jpg	0	1172
AdSubjExpt1-6	Homoph_Control_pie2.jpg	1	801
AdSubjExpt1-6	Homoph_Control_pipe2.jpg	1	897
AdSubjExpt1-6	Homoph_Control_razor2.jpg	0	1044
AdSubjExpt1-6	Homoph_Control_sale2.jpg	0	1642
AdSubjExpt1-6	Homoph_Control_sponge2.jpg	0	1239
