RECORDING_SESSION_LABEL	DATA_FILE	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
AdSubjExpt1-1	AdSubjExpt1-1	RIGHT	306.25	1606	0.4029	0.3077	4	Pre_Targ 	1	.	3	3986	13	Filler	(753, 90)	bird1.jpg	Pre	12649562	12645346	Filler	Filler
AdSubjExpt1-1	AdSubjExpt1-1	RIGHT	290.50	666	0.1671	0.1538	2	Pre_D1 	2	.	1	3986	13	Filler	(753, 90)	bird1.jpg	Pre	12649562	12645346	Filler	Filler
AdSubjExpt1-1	AdSubjExpt1-1	RIGHT	293.50	1504	0.3773	0.4615	6	Pre_D2 	3	.	2	3986	13	Filler	(753, 90)	bird1.jpg	Pre	12649562	12645346	Filler	Filler
AdSubjExpt1-1	AdSubjExpt1-1	RIGHT	221.00	1048	0.2739	0.3333	5	Pre_Targ 	1	.	1	3826	15	Filler	(477, 554)	dog1.jpg	Pre	12658534	12654316	Filler	Filler
AdSubjExpt1-1	AdSubjExpt1-1	RIGHT	243.80	1380	0.3607	0.3333	5	Pre_D1 	2	.	3	3826	15	Filler	(477, 554)	dog1.jpg	Pre	12658534	12654316	Filler	Filler
AdSubjExpt1-1	AdSubjExpt1-1	RIGHT	257.00	1138	0.2974	0.2000	3	Pre_D2 	3	.	2	3826	15	Filler	(477, 554)	dog1.jpg	Pre	12658534	12654316	Filler	Filler
AdSubjExpt1-1	AdSubjExpt1-1	RIGHT	252.67	1896	0.4658	0.4286	3	Pre_Targ 	1	.	2	4070	7	Filler	(147, 90)	book1.jpg	Pre	12675222	12671005	Filler	Filler
AdSubjExpt1-1	AdSubjExpt1-1	RIGHT	230.50	1360	0.3342	0.2857	2	Pre_D1 	2	.	2	4070	7	Filler	(147, 90)	book1.jpg	Pre	12675222	12671005	Filler	Filler
AdSubjExpt1-1	AdSubjExpt1-1	RIGHT	230.50	814	0.2000	0.2857	2	Pre_D2 	3	.	2	4070	7	Filler	(147, 90)	book1.jpg	Pre	12675222	12671005	Filler	Filler
AdSubjExpt1-1	AdSubjExpt1-1	RIGHT	242.00	808	0.1987	0.1250	1	Pre_Targ 	1	.	1	4066	8	Homoph_Control_sponge1.jpg	(477, 554)	sponge1.jpg	Pre	12684259	12680042	Homoph	Control
