RECORDING_SESSION_LABEL	DATA_FILE	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
bj-6	bj-6.edf	RIGHT	349.00	710	1.0000	1.0000	2	Pre_Targ 	1	.	1	710	2	Filler	(753, 90)	bird1.jpg	Reward	12652263	12651597	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	710	2	Filler	(753, 90)	bird1.jpg	Reward	12652263	12651597	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	710	2	Filler	(753, 90)	bird1.jpg	Reward	12652263	12651597	Filler	Filler
bj-6	bj-6.edf	RIGHT	317.00	1086	1.0000	1.0000	3	Pre_Targ 	1	.	1	1086	3	Filler	(477, 554)	dog1.jpg	Reward	12661860	12661195	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	1086	3	Filler	(477, 554)	dog1.jpg	Reward	12661860	12661195	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	1086	3	Filler	(477, 554)	dog1.jpg	Reward	12661860	12661195	Filler	Filler
bj-6	bj-6.edf	RIGHT	351.00	752	1.0000	1.0000	2	Pre_Targ 	1	.	1	752	2	Filler	(147, 90)	book1.jpg	Reward	12677416	12676750	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	752	2	Filler	(147, 90)	book1.jpg	Reward	12677416	12676750	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	752	2	Filler	(147, 90)	book1.jpg	Reward	12677416	12676750	Filler	Filler
bj-6	bj-6.edf	RIGHT	277.00	882	1.0000	1.0000	1	Pre_Targ 	1	.	1	882	1	Homoph_Control_sponge1.jpg	(477, 554)	sponge1.jpg	Reward	12688293	12687627	Homoph	Control
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	882	1	Homoph_Control_sponge1.jpg	(477, 554)	sponge1.jpg	Reward	12688293	12687627	Homoph	Control
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	882	1	Homoph_Control_sponge1.jpg	(477, 554)	sponge1.jpg	Reward	12688293	12687627	Homoph	Control
bj-6	bj-6.edf	RIGHT	346.00	1090	1.0000	1.0000	2	Pre_Targ 	1	.	1	1090	2	Filler	(147, 90)	shoe1.jpg	Reward	12702116	12701449	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	1090	2	Filler	(147, 90)	shoe1.jpg	Reward	12702116	12701449	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	1090	2	Filler	(147, 90)	shoe1.jpg	Reward	12702116	12701449	Filler	Filler
bj-6	bj-6.edf	RIGHT	298.00	790	1.0000	1.0000	2	Pre_Targ 	1	.	1	790	2	Filler	(147, 90)	flower1.jpg	Reward	12712659	12711993	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	790	2	Filler	(147, 90)	flower1.jpg	Reward	12712659	12711993	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	790	2	Filler	(147, 90)	flower1.jpg	Reward	12712659	12711993	Filler	Filler
bj-6	bj-6.edf	RIGHT	353.00	2666	1.0000	1.0000	1	Pre_Targ 	1	.	1	2666	1	Homoph_Control_pie1.jpg	(147, 90)	pie1.jpg	Reward	12722736	12722071	Homoph	Control
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	2666	1	Homoph_Control_pie1.jpg	(147, 90)	pie1.jpg	Reward	12722736	12722071	Homoph	Control
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	2666	1	Homoph_Control_pie1.jpg	(147, 90)	pie1.jpg	Reward	12722736	12722071	Homoph	Control
bj-6	bj-6.edf	RIGHT	369.00	1512	0.8640	0.5000	1	Pre_Targ 	1	.	1	1750	2	Homoph_Control_lock1.jpg	(147, 90)	lock1.jpg	Reward	12731867	12731200	Homoph	Control
bj-6	bj-6.edf	RIGHT	340.00	238	0.1360	0.5000	1	Pre_D1 	2	.	1	1750	2	Homoph_Control_lock1.jpg	(147, 90)	lock1.jpg	Reward	12731867	12731200	Homoph	Control
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	1750	2	Homoph_Control_lock1.jpg	(147, 90)	lock1.jpg	Reward	12731867	12731200	Homoph	Control
bj-6	bj-6.edf	RIGHT	271.00	762	1.0000	1.0000	1	Pre_Targ 	1	.	1	762	1	Filler	(477, 554)	tree1.jpg	Reward	12740797	12740131	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	762	1	Filler	(477, 554)	tree1.jpg	Reward	12740797	12740131	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	762	1	Filler	(477, 554)	tree1.jpg	Reward	12740797	12740131	Filler	Filler
bj-6	bj-6.edf	RIGHT	324.00	728	1.0000	1.0000	1	Pre_Targ 	1	.	1	728	1	Filler	(753, 90)	champagne.jpg	Reward	12750315	12749649	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	728	1	Filler	(753, 90)	champagne.jpg	Reward	12750315	12749649	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	728	1	Filler	(753, 90)	champagne.jpg	Reward	12750315	12749649	Filler	Filler
bj-6	bj-6.edf	RIGHT	397.00	1038	1.0000	1.0000	2	Pre_Targ 	1	.	1	1038	2	Homoph_Control_sale1.jpg	(147, 90)	sale1.jpg	Reward	12768390	12767724	Homoph	Control
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	1038	2	Homoph_Control_sale1.jpg	(147, 90)	sale1.jpg	Reward	12768390	12767724	Homoph	Control
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	1038	2	Homoph_Control_sale1.jpg	(147, 90)	sale1.jpg	Reward	12768390	12767724	Homoph	Control
bj-6	bj-6.edf	RIGHT	309.50	774	1.0000	1.0000	2	Pre_Targ 	1	.	1	774	2	Homoph_Ambig_button1.jpg	(147, 90)	button1.jpg	Reward	12783452	12782785	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	774	2	Homoph_Ambig_button1.jpg	(147, 90)	button1.jpg	Reward	12783452	12782785	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	774	2	Homoph_Ambig_button1.jpg	(147, 90)	button1.jpg	Reward	12783452	12782785	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	263.00	80	0.1146	0.5000	1	Pre_Targ 	1	.	1	698	2	Filler	(753, 90)	bike_pump.jpg	Reward	12793969	12793303	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	698	2	Filler	(753, 90)	bike_pump.jpg	Reward	12793969	12793303	Filler	Filler
bj-6	bj-6.edf	RIGHT	286.00	618	0.8854	0.5000	1	Pre_D2 	3	.	1	698	2	Filler	(753, 90)	bike_pump.jpg	Reward	12793969	12793303	Filler	Filler
bj-6	bj-6.edf	RIGHT	326.00	498	0.5343	0.5000	1	Pre_Targ 	1	.	1	932	2	Homoph_Control_mouse1.jpg	(147, 90)	mouse1.jpg	Reward	12803779	12803113	Homoph	Control
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	932	2	Homoph_Control_mouse1.jpg	(147, 90)	mouse1.jpg	Reward	12803779	12803113	Homoph	Control
bj-6	bj-6.edf	RIGHT	288.00	434	0.4657	0.5000	1	Pre_D2 	3	.	1	932	2	Homoph_Control_mouse1.jpg	(147, 90)	mouse1.jpg	Reward	12803779	12803113	Homoph	Control
bj-6	bj-6.edf	RIGHT	321.50	490	0.7903	0.6667	2	Pre_Targ 	1	.	1	620	3	Filler	(753, 90)	garland.jpg	Reward	12820041	12819376	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	620	3	Filler	(753, 90)	garland.jpg	Reward	12820041	12819376	Filler	Filler
bj-6	bj-6.edf	RIGHT	338.00	130	0.2097	0.3333	1	Pre_D2 	3	.	1	620	3	Filler	(753, 90)	garland.jpg	Reward	12820041	12819376	Filler	Filler
bj-6	bj-6.edf	RIGHT	263.00	890	1.0000	1.0000	3	Pre_Targ 	1	.	1	890	3	Homoph_Control_razor1.jpg	(753, 90)	razor1.jpg	Reward	12830279	12829613	Homoph	Control
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	890	3	Homoph_Control_razor1.jpg	(753, 90)	razor1.jpg	Reward	12830279	12829613	Homoph	Control
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	890	3	Homoph_Control_razor1.jpg	(753, 90)	razor1.jpg	Reward	12830279	12829613	Homoph	Control
bj-6	bj-6.edf	RIGHT	272.33	1202	1.0000	1.0000	3	Pre_Targ 	1	.	1	1202	3	Filler	(477, 554)	fish1.jpg	Reward	12839622	12838956	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	1202	3	Filler	(477, 554)	fish1.jpg	Reward	12839622	12838956	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	1202	3	Filler	(477, 554)	fish1.jpg	Reward	12839622	12838956	Filler	Filler
bj-6	bj-6.edf	RIGHT	264.00	638	1.0000	1.0000	1	Pre_Targ 	1	.	1	638	1	Filler	(147, 90)	toothbrush1.jpg	Reward	12850659	12849993	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	638	1	Filler	(147, 90)	toothbrush1.jpg	Reward	12850659	12849993	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	638	1	Filler	(147, 90)	toothbrush1.jpg	Reward	12850659	12849993	Filler	Filler
bj-6	bj-6.edf	RIGHT	243.00	1892	1.0000	1.0000	1	Pre_Targ 	1	.	1	1892	1	Homoph_Ambig_flour1.jpg	(753, 90)	flour1.jpg	Reward	12859883	12859218	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	1892	1	Homoph_Ambig_flour1.jpg	(753, 90)	flour1.jpg	Reward	12859883	12859218	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	1892	1	Homoph_Ambig_flour1.jpg	(753, 90)	flour1.jpg	Reward	12859883	12859218	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	270.50	778	0.6571	0.6667	2	Pre_Targ 	1	.	1	1184	3	Filler	(477, 554)	colander.jpg	Reward	12869894	12869227	Filler	Filler
bj-6	bj-6.edf	RIGHT	302.00	406	0.3429	0.3333	1	Pre_D1 	2	.	1	1184	3	Filler	(477, 554)	colander.jpg	Reward	12869894	12869227	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	1184	3	Filler	(477, 554)	colander.jpg	Reward	12869894	12869227	Filler	Filler
bj-6	bj-6.edf	RIGHT	296.50	926	1.0000	1.0000	2	Pre_Targ 	1	.	1	926	2	Homoph_Ambig_horn1.jpg	(147, 90)	horn1.jpg	Reward	12882264	12881597	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	926	2	Homoph_Ambig_horn1.jpg	(147, 90)	horn1.jpg	Reward	12882264	12881597	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	926	2	Homoph_Ambig_horn1.jpg	(147, 90)	horn1.jpg	Reward	12882264	12881597	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	345.50	502	0.7131	0.6667	2	Pre_Targ 	1	.	1	704	3	Filler	(147, 90)	life_ring.jpg	Reward	12896206	12895540	Filler	Filler
bj-6	bj-6.edf	RIGHT	292.00	202	0.2869	0.3333	1	Pre_D1 	2	.	1	704	3	Filler	(147, 90)	life_ring.jpg	Reward	12896206	12895540	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	704	3	Filler	(147, 90)	life_ring.jpg	Reward	12896206	12895540	Filler	Filler
bj-6	bj-6.edf	RIGHT	257.50	532	0.6115	0.6667	2	Pre_Targ 	1	.	1	870	3	Filler	(753, 90)	penguin1.jpg	Reward	12905470	12904804	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	870	3	Filler	(753, 90)	penguin1.jpg	Reward	12905470	12904804	Filler	Filler
bj-6	bj-6.edf	RIGHT	244.00	338	0.3885	0.3333	1	Pre_D2 	3	.	1	870	3	Filler	(753, 90)	penguin1.jpg	Reward	12905470	12904804	Filler	Filler
bj-6	bj-6.edf	RIGHT	299.00	1112	0.7183	0.2500	1	Pre_Targ 	1	.	1	1548	4	Homoph_Ambig_bat1.jpg	(147, 90)	bat1.jpg	Reward	12914560	12913895	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	304.00	352	0.2274	0.5000	2	Pre_D1 	2	.	1	1548	4	Homoph_Ambig_bat1.jpg	(147, 90)	bat1.jpg	Reward	12914560	12913895	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	276.00	84	0.0543	0.2500	1	Pre_D2 	3	.	1	1548	4	Homoph_Ambig_bat1.jpg	(147, 90)	bat1.jpg	Reward	12914560	12913895	Homoph	Ambig
bj-6	bj-6.edf	RIGHT	328.50	1158	1.0000	1.0000	2	Pre_Targ 	1	.	1	1158	2	Filler	(147, 90)	bedframe.jpg	Reward	12925318	12924651	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	1158	2	Filler	(147, 90)	bedframe.jpg	Reward	12925318	12924651	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	1158	2	Filler	(147, 90)	bedframe.jpg	Reward	12925318	12924651	Filler	Filler
bj-6	bj-6.edf	RIGHT	278.00	580	0.5859	0.5000	1	Pre_Targ 	1	.	1	990	2	Filler	(753, 90)	leaf1.jpg	Reward	12935155	12934489	Filler	Filler
bj-6	bj-6.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	990	2	Filler	(753, 90)	leaf1.jpg	Reward	12935155	12934489	Filler	Filler
bj-6	bj-6.edf	RIGHT	295.00	410	0.4141	0.5000	1	Pre_D2 	3	.	1	990	2	Filler	(753, 90)	leaf1.jpg	Reward	12935155	12934489	Filler	Filler
