RECORDING_SESSION_LABEL	CURRENT_FIX_INDEX	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_NEAREST_INTEREST_AREA	CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL	CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_LABEL	IP_LABEL	IP_END_TIME	IP_START_TIME	CURRENT_FIX_START	cond	targname	trialnum	type	TRIAL_START_TIME
b15	1	[ 1]	1	Pre_Targ 	1.13	280	6326	Fixation: 6048ms	Reward	7326539	7325873	6048	Filler	pie1.jpg	Filler	Filler	7319975
b15	2	[ 3]	3	Pre_D2 	1.92	232	6604	Fixation: 6374ms	Reward	7326539	7325873	6374	Filler	pie1.jpg	Filler	Filler	7319975
b15	1	[ 1]	1	Pre_Targ 	0.78	366	6226	Fixation: 5862ms	Reward	7335470	7334803	5862	Filler	bike_pump.jpg	Filler	Filler	7328921
b15	2	[ 1]	1	Pre_Targ 	3.19	238	6488	Fixation: 6252ms	Reward	7335470	7334803	6252	Filler	bike_pump.jpg	Filler	Filler	7328921
b15	3	[ 3]	3	Pre_D2 	2.53	60	6588	Fixation: 6530ms	Reward	7335470	7334803	6530	Filler	bike_pump.jpg	Filler	Filler	7328921
b15	1	[ 1]	1	Pre_Targ 	0.97	718	7038	Fixation: 6322ms	Reward	7345293	7344627	6322	Filler	bow1.jpg	Filler	Filler	7338081
b15	2	[ 2]	2	Pre_D1 	5.35	166	7250	Fixation: 7086ms	Reward	7345293	7344627	7086	Filler	bow1.jpg	Filler	Filler	7338081
b15	1	[ 1]	1	Pre_Targ 	1.86	226	5910	Fixation: 5686ms	Reward	7354864	7354198	5686	Ambig	dog1.jpg	Same_Ambig_dog1.jpg	Same	7348443
b15	2	[ 1]	1	Pre_Targ 	0.99	358	6284	Fixation: 5928ms	Reward	7354864	7354198	5928	Ambig	dog1.jpg	Same_Ambig_dog1.jpg	Same	7348443
b15	3	[ ]	2	Pre_D1 	5.73	104	6420	Fixation: 6318ms	Reward	7354864	7354198	6318	Ambig	dog1.jpg	Same_Ambig_dog1.jpg	Same	7348443
b15	1	[ 1]	1	Pre_Targ 	0.61	270	6118	Fixation: 5850ms	Reward	7363594	7362928	5850	Filler	mussel1.jpg	Filler	Filler	7357019
b15	2	[ 1]	1	Pre_Targ 	1.02	194	6328	Fixation: 6136ms	Reward	7363594	7362928	6136	Filler	mussel1.jpg	Filler	Filler	7357019
b15	3	[ ]	1	Pre_Targ 	8.05	146	6508	Fixation: 6364ms	Reward	7363594	7362928	6364	Filler	mussel1.jpg	Filler	Filler	7357019
b15	4	[ 1]	1	Pre_Targ 	2.99	76	6614	Fixation: 6540ms	Reward	7363594	7362928	6540	Filler	mussel1.jpg	Filler	Filler	7357019
b15	1	[ 1]	1	Pre_Targ 	1.68	1206	5724	Fixation: 4520ms	Reward	7372032	7371366	4520	Control	flower1.jpg	Same_Control_flower1.jpg	Same	7365873
b15	2	[ 1]	1	Pre_Targ 	0.15	170	5912	Fixation: 5744ms	Reward	7372032	7371366	5744	Control	flower1.jpg	Same_Control_flower1.jpg	Same	7365873
b15	3	[ 1]	1	Pre_Targ 	0.96	186	6110	Fixation: 5926ms	Reward	7372032	7371366	5926	Control	flower1.jpg	Same_Control_flower1.jpg	Same	7365873
b15	1	[ 1]	1	Pre_Targ 	2.91	456	5776	Fixation: 5322ms	Reward	7380683	7380017	5322	Filler	bat1.jpg	Filler	Filler	7374477
b15	2	[ 1]	1	Pre_Targ 	1.97	272	6080	Fixation: 5810ms	Reward	7380683	7380017	5810	Filler	bat1.jpg	Filler	Filler	7374477
b15	3	[ 2]	2	Pre_D1 	1.22	118	6246	Fixation: 6130ms	Reward	7380683	7380017	6130	Filler	bat1.jpg	Filler	Filler	7374477
b15	1	[ 1]	1	Pre_Targ 	0.48	1724	5882	Fixation: 4160ms	Reward	7389014	7388348	4160	Filler	canopy.jpg	Filler	Filler	7383049
b15	2	[ 1]	1	Pre_Targ 	2.77	100	6004	Fixation: 5906ms	Reward	7389014	7388348	5906	Filler	canopy.jpg	Filler	Filler	7383049
b15	1	[ 1]	1	Pre_Targ 	0.37	2004	6434	Fixation: 4432ms	Reward	7398238	7397572	4432	Ambig	bus1.jpg	Same_Ambig_bus1.jpg	Same	7391537
b15	2	[ 1]	1	Pre_Targ 	0.90	94	6540	Fixation: 6448ms	Reward	7398238	7397572	6448	Ambig	bus1.jpg	Same_Ambig_bus1.jpg	Same	7391537
b15	3	[ ]	2	Pre_D1 	5.36	90	6670	Fixation: 6582ms	Reward	7398238	7397572	6582	Ambig	bus1.jpg	Same_Ambig_bus1.jpg	Same	7391537
b15	4	[ 2]	2	Pre_D1 	2.32	48	6740	Fixation: 6694ms	Reward	7398238	7397572	6694	Ambig	bus1.jpg	Same_Ambig_bus1.jpg	Same	7391537
b15	1	[ 1]	1	Pre_Targ 	1.26	142	5804	Fixation: 5664ms	Reward	7407422	7406756	5664	Filler	mouse1.jpg	Filler	Filler	7400997
b15	2	[ 1]	1	Pre_Targ 	2.53	234	6054	Fixation: 5822ms	Reward	7407422	7406756	5822	Filler	mouse1.jpg	Filler	Filler	7400997
b15	3	[ 1]	1	Pre_Targ 	1.42	236	6312	Fixation: 6078ms	Reward	7407422	7406756	6078	Filler	mouse1.jpg	Filler	Filler	7400997
b15	4	[ 1]	1	Pre_Targ 	2.12	136	6466	Fixation: 6332ms	Reward	7407422	7406756	6332	Filler	mouse1.jpg	Filler	Filler	7400997
b15	1	[ 1]	1	Pre_Targ 	2.20	362	5618	Fixation: 5258ms	Reward	7415940	7415273	5258	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	7409851
