RECORDING_SESSION_LABEL	CURRENT_FIX_INDEX	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_NEAREST_INTEREST_AREA	CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL	CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_LABEL	IP_LABEL	IP_END_TIME	IP_START_TIME	CURRENT_FIX_START	cond	targname	trialnum	type	TRIAL_START_TIME
b15	1	[ 3]	3	Pre_D2 	0.19	230	3806	Fixation: 3578ms	Target	7325838	7323540	3578	Filler	pie1.jpg	Filler	Filler	7319975
b15	2	[ 1]	1	Pre_Targ 	2.91	86	3936	Fixation: 3852ms	Target	7325838	7323540	3852	Filler	pie1.jpg	Filler	Filler	7319975
b15	3	[ 1]	1	Pre_Targ 	1.10	120	4076	Fixation: 3958ms	Target	7325838	7323540	3958	Filler	pie1.jpg	Filler	Filler	7319975
b15	4	[ 1]	1	Pre_Targ 	2.03	176	4266	Fixation: 4092ms	Target	7325838	7323540	4092	Filler	pie1.jpg	Filler	Filler	7319975
b15	5	[ 1]	1	Pre_Targ 	0.36	372	4656	Fixation: 4286ms	Target	7325838	7323540	4286	Filler	pie1.jpg	Filler	Filler	7319975
b15	6	[ 1]	1	Pre_Targ 	1.10	390	5058	Fixation: 4670ms	Target	7325838	7323540	4670	Filler	pie1.jpg	Filler	Filler	7319975
b15	1	[ 3]	3	Pre_D2 	1.99	310	3730	Fixation: 3422ms	Target	7334768	7332484	3422	Filler	bike_pump.jpg	Filler	Filler	7328921
b15	2	[ 1]	1	Pre_Targ 	2.48	144	3918	Fixation: 3776ms	Target	7334768	7332484	3776	Filler	bike_pump.jpg	Filler	Filler	7328921
b15	3	[ 1]	1	Pre_Targ 	1.82	314	4252	Fixation: 3940ms	Target	7334768	7332484	3940	Filler	bike_pump.jpg	Filler	Filler	7328921
b15	4	[ 1]	1	Pre_Targ 	0.72	1392	5664	Fixation: 4274ms	Target	7334768	7332484	4274	Filler	bike_pump.jpg	Filler	Filler	7328921
b15	5	[ 1]	1	Pre_Targ 	1.94	166	5844	Fixation: 5680ms	Target	7334768	7332484	5680	Filler	bike_pump.jpg	Filler	Filler	7328921
b15	1	[ ]	2	Pre_D1 	6.02	200	3736	Fixation: 3538ms	Target	7344592	7341642	3538	Filler	bow1.jpg	Filler	Filler	7338081
b15	2	[ 1]	1	Pre_Targ 	3.82	128	3906	Fixation: 3780ms	Target	7344592	7341642	3780	Filler	bow1.jpg	Filler	Filler	7338081
b15	3	[ 1]	1	Pre_Targ 	1.13	304	4234	Fixation: 3932ms	Target	7344592	7341642	3932	Filler	bow1.jpg	Filler	Filler	7338081
b15	4	[ 1]	1	Pre_Targ 	0.98	380	4634	Fixation: 4256ms	Target	7344592	7341642	4256	Filler	bow1.jpg	Filler	Filler	7338081
b15	5	[ 1]	1	Pre_Targ 	0.89	104	4756	Fixation: 4654ms	Target	7344592	7341642	4654	Filler	bow1.jpg	Filler	Filler	7338081
b15	6	[ 1]	1	Pre_Targ 	1.43	452	6304	Fixation: 5854ms	Target	7344592	7341642	5854	Filler	bow1.jpg	Filler	Filler	7338081
b15	7	[ 1]	1	Pre_Targ 	0.97	718	7038	Fixation: 6322ms	Target	7344592	7341642	6322	Filler	bow1.jpg	Filler	Filler	7338081
b15	1	[ 3]	3	Pre_D2 	2.79	304	3720	Fixation: 3418ms	Target	7354163	7351999	3418	Ambig	dog1.jpg	Same_Ambig_dog1.jpg	Same	7348443
b15	2	[ 1]	1	Pre_Targ 	1.86	320	4086	Fixation: 3768ms	Target	7354163	7351999	3768	Ambig	dog1.jpg	Same_Ambig_dog1.jpg	Same	7348443
b15	3	[ 1]	1	Pre_Targ 	0.42	652	4756	Fixation: 4106ms	Target	7354163	7351999	4106	Ambig	dog1.jpg	Same_Ambig_dog1.jpg	Same	7348443
b15	4	[ 1]	1	Pre_Targ 	1.74	896	5668	Fixation: 4774ms	Target	7354163	7351999	4774	Ambig	dog1.jpg	Same_Ambig_dog1.jpg	Same	7348443
b15	5	[ 1]	1	Pre_Targ 	1.86	226	5910	Fixation: 5686ms	Target	7354163	7351999	5686	Ambig	dog1.jpg	Same_Ambig_dog1.jpg	Same	7348443
b15	1	[ 3]	3	Pre_D2 	3.42	418	4000	Fixation: 3584ms	Target	7362893	7360583	3584	Filler	mussel1.jpg	Filler	Filler	7357019
b15	2	[ ]	3	Pre_D2 	5.39	114	4132	Fixation: 4020ms	Target	7362893	7360583	4020	Filler	mussel1.jpg	Filler	Filler	7357019
b15	3	[ 1]	1	Pre_Targ 	0.17	140	4308	Fixation: 4170ms	Target	7362893	7360583	4170	Filler	mussel1.jpg	Filler	Filler	7357019
b15	4	[ 1]	1	Pre_Targ 	2.32	498	4826	Fixation: 4330ms	Target	7362893	7360583	4330	Filler	mussel1.jpg	Filler	Filler	7357019
b15	5	[ 1]	1	Pre_Targ 	3.00	408	5248	Fixation: 4842ms	Target	7362893	7360583	4842	Filler	mussel1.jpg	Filler	Filler	7357019
b15	6	[ 1]	1	Pre_Targ 	1.19	560	5828	Fixation: 5270ms	Target	7362893	7360583	5270	Filler	mussel1.jpg	Filler	Filler	7357019
b15	7	[ 1]	1	Pre_Targ 	0.61	270	6118	Fixation: 5850ms	Target	7362893	7360583	5850	Filler	mussel1.jpg	Filler	Filler	7357019
b15	1	[ ]	3	Pre_D2 	5.39	262	3706	Fixation: 3446ms	Target	7371331	7369434	3446	Control	flower1.jpg	Same_Control_flower1.jpg	Same	7365873
b15	2	[ 1]	1	Pre_Targ 	1.28	612	4360	Fixation: 3750ms	Target	7371331	7369434	3750	Control	flower1.jpg	Same_Control_flower1.jpg	Same	7365873
b15	3	[ 1]	1	Pre_Targ 	1.06	126	4500	Fixation: 4376ms	Target	7371331	7369434	4376	Control	flower1.jpg	Same_Control_flower1.jpg	Same	7365873
b15	4	[ 1]	1	Pre_Targ 	1.68	1206	5724	Fixation: 4520ms	Target	7371331	7369434	4520	Control	flower1.jpg	Same_Control_flower1.jpg	Same	7365873
b15	1	[ 2]	2	Pre_D1 	0.46	478	3694	Fixation: 3218ms	Target	7379982	7378031	3218	Filler	bat1.jpg	Filler	Filler	7374477
b15	2	[ 1]	1	Pre_Targ 	1.65	130	3872	Fixation: 3744ms	Target	7379982	7378031	3744	Filler	bat1.jpg	Filler	Filler	7374477
b15	3	[ 1]	1	Pre_Targ 	1.98	576	4468	Fixation: 3894ms	Target	7379982	7378031	3894	Filler	bat1.jpg	Filler	Filler	7374477
b15	4	[ 1]	1	Pre_Targ 	1.66	146	4720	Fixation: 4576ms	Target	7379982	7378031	4576	Filler	bat1.jpg	Filler	Filler	7374477
b15	5	[ 1]	1	Pre_Targ 	1.00	152	4892	Fixation: 4742ms	Target	7379982	7378031	4742	Filler	bat1.jpg	Filler	Filler	7374477
b15	6	[ 1]	1	Pre_Targ 	1.07	254	5164	Fixation: 4912ms	Target	7379982	7378031	4912	Filler	bat1.jpg	Filler	Filler	7374477
b15	7	[ 1]	1	Pre_Targ 	2.91	456	5776	Fixation: 5322ms	Target	7379982	7378031	5322	Filler	bat1.jpg	Filler	Filler	7374477
b15	1	[ 3]	3	Pre_D2 	2.91	174	3676	Fixation: 3504ms	Target	7388313	7386602	3504	Filler	canopy.jpg	Filler	Filler	7383049
b15	2	[ 1]	1	Pre_Targ 	1.90	426	4148	Fixation: 3724ms	Target	7388313	7386602	3724	Filler	canopy.jpg	Filler	Filler	7383049
b15	3	[ 1]	1	Pre_Targ 	0.48	1724	5882	Fixation: 4160ms	Target	7388313	7386602	4160	Filler	canopy.jpg	Filler	Filler	7383049
b15	1	[ 3]	3	Pre_D2 	2.47	324	3658	Fixation: 3336ms	Target	7397537	7395093	3336	Ambig	bus1.jpg	Same_Ambig_bus1.jpg	Same	7391537
b15	2	[ 1]	1	Pre_Targ 	1.92	230	3924	Fixation: 3696ms	Target	7397537	7395093	3696	Ambig	bus1.jpg	Same_Ambig_bus1.jpg	Same	7391537
b15	3	[ 1]	1	Pre_Targ 	0.61	314	4256	Fixation: 3944ms	Target	7397537	7395093	3944	Ambig	bus1.jpg	Same_Ambig_bus1.jpg	Same	7391537
b15	4	[ 1]	1	Pre_Targ 	1.97	140	4412	Fixation: 4274ms	Target	7397537	7395093	4274	Ambig	bus1.jpg	Same_Ambig_bus1.jpg	Same	7391537
b15	5	[ 1]	1	Pre_Targ 	0.37	2004	6434	Fixation: 4432ms	Target	7397537	7395093	4432	Ambig	bus1.jpg	Same_Ambig_bus1.jpg	Same	7391537
b15	1	[ ]	3	Pre_D2 	7.68	214	3706	Fixation: 3494ms	Target	7406721	7404557	3494	Filler	mouse1.jpg	Filler	Filler	7400997
b15	2	[ 1]	1	Pre_Targ 	3.70	344	4072	Fixation: 3730ms	Target	7406721	7404557	3730	Filler	mouse1.jpg	Filler	Filler	7400997
b15	3	[ 1]	1	Pre_Targ 	1.18	280	4374	Fixation: 4096ms	Target	7406721	7404557	4096	Filler	mouse1.jpg	Filler	Filler	7400997
b15	4	[ 1]	1	Pre_Targ 	2.43	1252	5644	Fixation: 4394ms	Target	7406721	7404557	4394	Filler	mouse1.jpg	Filler	Filler	7400997
b15	5	[ 1]	1	Pre_Targ 	1.26	142	5804	Fixation: 5664ms	Target	7406721	7404557	5664	Filler	mouse1.jpg	Filler	Filler	7400997
b15	1	[ 2]	2	Pre_D1 	2.91	244	3736	Fixation: 3494ms	Target	7415238	7413408	3494	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	7409851
b15	2	[ 1]	1	Pre_Targ 	3.67	162	3944	Fixation: 3784ms	Target	7415238	7413408	3784	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	7409851
b15	3	[ 1]	1	Pre_Targ 	1.18	168	4134	Fixation: 3968ms	Target	7415238	7413408	3968	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	7409851
b15	4	[ 1]	1	Pre_Targ 	2.36	314	4460	Fixation: 4148ms	Target	7415238	7413408	4148	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	7409851
b15	5	[ 1]	1	Pre_Targ 	2.53	220	4940	Fixation: 4722ms	Target	7415238	7413408	4722	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	7409851
b15	6	[ ]	2	Pre_D1 	4.33	30	5030	Fixation: 5002ms	Target	7415238	7413408	5002	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	7409851
b15	7	[ 1]	1	Pre_Targ 	2.20	362	5618	Fixation: 5258ms	Target	7415238	7413408	5258	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	7409851
b15	1	[ 3]	3	Pre_D2 	0.73	448	3804	Fixation: 3358ms	Target	7424543	7422071	3358	Filler	sale1.jpg	Filler	Filler	7418507
b15	2	[ 1]	1	Pre_Targ 	1.04	246	4096	Fixation: 3852ms	Target	7424543	7422071	3852	Filler	sale1.jpg	Filler	Filler	7418507
b15	3	[ 1]	1	Pre_Targ 	0.25	816	4924	Fixation: 4110ms	Target	7424543	7422071	4110	Filler	sale1.jpg	Filler	Filler	7418507
b15	4	[ 1]	1	Pre_Targ 	2.58	342	5284	Fixation: 4944ms	Target	7424543	7422071	4944	Filler	sale1.jpg	Filler	Filler	7418507
b15	5	[ 1]	1	Pre_Targ 	2.08	288	5594	Fixation: 5308ms	Target	7424543	7422071	5308	Filler	sale1.jpg	Filler	Filler	7418507
b15	6	[ 1]	1	Pre_Targ 	1.29	608	6252	Fixation: 5646ms	Target	7424543	7422071	5646	Filler	sale1.jpg	Filler	Filler	7418507
b15	1	[ 1]	1	Pre_Targ 	1.74	744	3718	Fixation: 2976ms	Target	7433647	7431789	2976	Control	tree1.jpg	Same_Control_tree1.jpg	Same	7428223
b15	2	[ 1]	1	Pre_Targ 	1.44	150	3890	Fixation: 3742ms	Target	7433647	7431789	3742	Control	tree1.jpg	Same_Control_tree1.jpg	Same	7428223
b15	3	[ 1]	1	Pre_Targ 	0.28	652	4558	Fixation: 3908ms	Target	7433647	7431789	3908	Control	tree1.jpg	Same_Control_tree1.jpg	Same	7428223
b15	4	[ 1]	1	Pre_Targ 	1.63	228	5632	Fixation: 5406ms	Target	7433647	7431789	5406	Control	tree1.jpg	Same_Control_tree1.jpg	Same	7428223
b15	1	[ ]	2	Pre_D1 	6.97	178	3712	Fixation: 3536ms	Target	7442138	7440226	3536	Filler	sponge1.jpg	Filler	Filler	7436661
b15	2	[ 1]	1	Pre_Targ 	1.68	422	4172	Fixation: 3752ms	Target	7442138	7440226	3752	Filler	sponge1.jpg	Filler	Filler	7436661
b15	3	[ 1]	1	Pre_Targ 	0.12	206	4394	Fixation: 4190ms	Target	7442138	7440226	4190	Filler	sponge1.jpg	Filler	Filler	7436661
b15	4	[ 1]	1	Pre_Targ 	1.61	726	5138	Fixation: 4414ms	Target	7442138	7440226	4414	Filler	sponge1.jpg	Filler	Filler	7436661
b15	5	[ 1]	1	Pre_Targ 	0.14	706	5860	Fixation: 5156ms	Target	7442138	7440226	5156	Filler	sponge1.jpg	Filler	Filler	7436661
b15	1	[ 3]	3	Pre_D2 	2.57	198	3730	Fixation: 3534ms	Target	7450708	7448624	3534	Control	fish1.jpg	Same_Control_fish1.jpg	Same	7445071
b15	2	[ 1]	1	Pre_Targ 	1.12	270	4046	Fixation: 3778ms	Target	7450708	7448624	3778	Control	fish1.jpg	Same_Control_fish1.jpg	Same	7445071
b15	3	[ 1]	1	Pre_Targ 	1.63	306	4368	Fixation: 4064ms	Target	7450708	7448624	4064	Control	fish1.jpg	Same_Control_fish1.jpg	Same	7445071
