RECORDING_SESSION_LABEL	DATA_FILE	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
b15	b15.edf	RIGHT	326.00	766	0.2388	0.2727	3	Pre_Targ 	1	.	2	3208	11	Filler	(147, 90)	pie1.jpg	Pre	7323505	7320035	Filler	Filler
b15	b15.edf	RIGHT	363.00	914	0.2849	0.2727	3	Pre_D1 	2	.	2	3208	11	Filler	(147, 90)	pie1.jpg	Pre	7323505	7320035	Filler	Filler
b15	b15.edf	RIGHT	413.25	1300	0.4052	0.3636	4	Pre_D2 	3	.	3	3208	11	Filler	(147, 90)	pie1.jpg	Pre	7323505	7320035	Filler	Filler
b15	b15.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_Targ 	1	.	0	3378	13	Filler	(147, 90)	bike_pump.jpg	Pre	7332449	7328978	Filler	Filler
b15	b15.edf	RIGHT	292.00	1342	0.3973	0.4615	6	Pre_D1 	2	.	4	3378	13	Filler	(147, 90)	bike_pump.jpg	Pre	7332449	7328978	Filler	Filler
b15	b15.edf	RIGHT	315.67	1252	0.3706	0.2308	3	Pre_D2 	3	.	3	3378	13	Filler	(147, 90)	bike_pump.jpg	Pre	7332449	7328978	Filler	Filler
b15	b15.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_Targ 	1	.	0	3256	10	Filler	(147, 90)	bow1.jpg	Pre	7341607	7338137	Filler	Filler
b15	b15.edf	RIGHT	280.00	420	0.1290	0.1000	1	Pre_D1 	2	.	1	3256	10	Filler	(147, 90)	bow1.jpg	Pre	7341607	7338137	Filler	Filler
b15	b15.edf	RIGHT	292.25	1618	0.4969	0.4000	4	Pre_D2 	3	.	3	3256	10	Filler	(147, 90)	bow1.jpg	Pre	7341607	7338137	Filler	Filler
b15	b15.edf	RIGHT	239.25	1014	0.3041	0.3077	4	Pre_Targ 	1	.	2	3334	13	Same_Ambig_dog1.jpg	(753, 90)	dog1.jpg	Pre	7351964	7348493	Same	Ambig
