RECORDING_SESSION_LABEL	DATA_FILE	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
b15	b15.edf	RIGHT	427.00	1144	0.8326	0.8333	5	Pre_Targ 	1	.	1	1374	6	Filler	(147, 90)	pie1.jpg	Target	7325838	7323540	Filler	Filler
b15	b15.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	1374	6	Filler	(147, 90)	pie1.jpg	Target	7325838	7323540	Filler	Filler
b15	b15.edf	RIGHT	419.00	230	0.1674	0.1667	1	Pre_D2 	3	.	1	1374	6	Filler	(147, 90)	pie1.jpg	Target	7325838	7323540	Filler	Filler
b15	b15.edf	RIGHT	362.00	2016	0.8667	0.8000	4	Pre_Targ 	1	.	1	2326	5	Filler	(147, 90)	bike_pump.jpg	Target	7334768	7332484	Filler	Filler
b15	b15.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	2326	5	Filler	(147, 90)	bike_pump.jpg	Target	7334768	7332484	Filler	Filler
b15	b15.edf	RIGHT	347.00	310	0.1333	0.2000	1	Pre_D2 	3	.	1	2326	5	Filler	(147, 90)	bike_pump.jpg	Target	7334768	7332484	Filler	Filler
b15	b15.edf	RIGHT	372.67	2086	0.9125	0.8571	6	Pre_Targ 	1	.	1	2286	7	Filler	(147, 90)	bow1.jpg	Target	7344592	7341642	Filler	Filler
b15	b15.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	2286	7	Filler	(147, 90)	bow1.jpg	Target	7344592	7341642	Filler	Filler
b15	b15.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	2286	7	Filler	(147, 90)	bow1.jpg	Target	7344592	7341642	Filler	Filler
b15	b15.edf	RIGHT	372.50	2094	0.8732	0.8000	4	Pre_Targ 	1	.	1	2398	5	Same_Ambig_dog1.jpg	(753, 90)	dog1.jpg	Target	7354163	7351999	Same	Ambig
b15	b15.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	2398	5	Same_Ambig_dog1.jpg	(753, 90)	dog1.jpg	Target	7354163	7351999	Same	Ambig
b15	b15.edf	RIGHT	279.00	304	0.1268	0.2000	1	Pre_D2 	3	.	1	2398	5	Same_Ambig_dog1.jpg	(753, 90)	dog1.jpg	Target	7354163	7351999	Same	Ambig
b15	b15.edf	RIGHT	300.00	1876	0.7791	0.7143	5	Pre_Targ 	1	.	1	2408	7	Filler	(753, 90)	mussel1.jpg	Target	7362893	7360583	Filler	Filler
b15	b15.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	2408	7	Filler	(753, 90)	mussel1.jpg	Target	7362893	7360583	Filler	Filler
b15	b15.edf	RIGHT	262.00	418	0.1736	0.1429	1	Pre_D2 	3	.	1	2408	7	Filler	(753, 90)	mussel1.jpg	Target	7362893	7360583	Filler	Filler
b15	b15.edf	RIGHT	330.33	1944	0.8812	0.7500	3	Pre_Targ 	1	.	1	2206	4	Same_Control_flower1.jpg	(753, 90)	flower1.jpg	Target	7371331	7369434	Same	Control
b15	b15.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	2206	4	Same_Control_flower1.jpg	(753, 90)	flower1.jpg	Target	7371331	7369434	Same	Control
