RECORDING_SESSION_LABEL	trialnum	cond	type	targname	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_INTEREST_AREA_LABEL	IP_LABEL	CURRENT_SAC_NEAREST_END_INTEREST_AREA_LABEL	CURRENT_SAC_NEAREST_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_TIME	IP_START_TIME
b15	Filler	Filler	Filler	pie1.jpg	.	Pre_Targ 	Pre	Pre_Targ 	Pre_D2 	264	7320035
b15	Filler	Filler	Filler	pie1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	374	7320035
b15	Filler	Filler	Filler	pie1.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	706	7320035
b15	Filler	Filler	Filler	pie1.jpg	Pre_D2 	Pre_D1 	Pre	Pre_D1 	Pre_D2 	1070	7320035
b15	Filler	Filler	Filler	pie1.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	1216	7320035
b15	Filler	Filler	Filler	pie1.jpg	Pre_D1 	Pre_Targ 	Pre	Pre_Targ 	Pre_D1 	1438	7320035
b15	Filler	Filler	Filler	pie1.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	1870	7320035
b15	Filler	Filler	Filler	pie1.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	2600	7320035
b15	Filler	Filler	Filler	pie1.jpg	Pre_D2 	Pre_D1 	Pre	Pre_D1 	Pre_D2 	2748	7320035
b15	Filler	Filler	Filler	pie1.jpg	Pre_D1 	Pre_D2 	Pre	Pre_D2 	Pre_D1 	3392	7320035
b15	Filler	Filler	Filler	bike_pump.jpg	.	.	Pre	Pre_D2 	Pre_D2 	148	7328978
b15	Filler	Filler	Filler	bike_pump.jpg	.	.	Pre	Pre_D1 	Pre_D2 	376	7328978
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_D1 	.	Pre	Pre_D1 	Pre_D1 	672	7328978
b15	Filler	Filler	Filler	bike_pump.jpg	.	Pre_D1 	Pre	Pre_D1 	Pre_D1 	868	7328978
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	1116	7328978
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_D1 	Pre_D2 	Pre	Pre_D2 	Pre_D1 	1272	7328978
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_D2 	.	Pre	Pre_Targ 	Pre_D2 	1592	7328978
b15	Filler	Filler	Filler	bike_pump.jpg	.	Pre_D1 	Pre	Pre_D1 	Pre_Targ 	1918	7328978
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	2116	7328978
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_D1 	Pre_D2 	Pre	Pre_D2 	Pre_D1 	2416	7328978
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_D2 	.	Pre	Pre_D1 	Pre_D2 	3112	7328978
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_D1 	Pre_D2 	Pre	Pre_D2 	Pre_D1 	3420	7328978
b15	Filler	Filler	Filler	bow1.jpg	.	.	Pre	Pre_D2 	Pre_D2 	120	7338137
b15	Filler	Filler	Filler	bow1.jpg	.	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	426	7338137
b15	Filler	Filler	Filler	bow1.jpg	Pre_D2 	.	Pre	Pre_D1 	Pre_D2 	570	7338137
b15	Filler	Filler	Filler	bow1.jpg	.	Pre_D1 	Pre	Pre_D1 	Pre_D1 	740	7338137
b15	Filler	Filler	Filler	bow1.jpg	Pre_D1 	Pre_D2 	Pre	Pre_D2 	Pre_D1 	1204	7338137
b15	Filler	Filler	Filler	bow1.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	1530	7338137
b15	Filler	Filler	Filler	bow1.jpg	Pre_D2 	.	Pre	Pre_Targ 	Pre_D2 	1850	7338137
b15	Filler	Filler	Filler	bow1.jpg	.	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	2304	7338137
b15	Filler	Filler	Filler	bow1.jpg	Pre_D2 	.	Pre	Pre_D2 	Pre_D2 	3232	7338137
b15	Filler	Filler	Filler	bow1.jpg	.	.	Pre	Pre_D1 	Pre_D2 	3536	7338137
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	.	.	Pre	Pre_D2 	Pre_D1 	152	7348493
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	.	Pre_D2 	Pre	Pre_D2 	Pre_D2 	344	7348493
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_D2 	Pre_Targ 	Pre	Pre_Targ 	Pre_D2 	524	7348493
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	762	7348493
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_Targ 	Pre_D1 	Pre	Pre_D1 	Pre_Targ 	982	7348493
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	1594	7348493
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_D1 	Pre_D2 	Pre	Pre_D2 	Pre_D1 	1844	7348493
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_D2 	Pre_Targ 	Pre	Pre_Targ 	Pre_D2 	2262	7348493
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	2526	7348493
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_Targ 	Pre_D1 	Pre	Pre_D1 	Pre_Targ 	2934	7348493
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_D1 	Pre_D2 	Pre	Pre_D2 	Pre_D1 	3190	7348493
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	3416	7348493
b15	Filler	Filler	Filler	mussel1.jpg	.	Pre_D1 	Pre	Pre_D1 	Pre_D1 	248	7357077
b15	Filler	Filler	Filler	mussel1.jpg	Pre_D1 	Pre_Targ 	Pre	Pre_Targ 	Pre_D1 	420	7357077
b15	Filler	Filler	Filler	mussel1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	612	7357077
b15	Filler	Filler	Filler	mussel1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	1022	7357077
b15	Filler	Filler	Filler	mussel1.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	1338	7357077
b15	Filler	Filler	Filler	mussel1.jpg	Pre_D2 	.	Pre	Pre_D2 	Pre_D2 	1664	7357077
b15	Filler	Filler	Filler	mussel1.jpg	.	Pre_D1 	Pre	Pre_D1 	Pre_D2 	1806	7357077
b15	Filler	Filler	Filler	mussel1.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	1992	7357077
b15	Filler	Filler	Filler	mussel1.jpg	Pre_D1 	Pre_D2 	Pre	Pre_D2 	Pre_D1 	2330	7357077
b15	Filler	Filler	Filler	mussel1.jpg	Pre_D2 	.	Pre	Pre_Targ 	Pre_D2 	2640	7357077
b15	Filler	Filler	Filler	mussel1.jpg	.	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	2782	7357077
b15	Filler	Filler	Filler	mussel1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	3114	7357077
b15	Same_Control_flower1.jpg	Control	Same	flower1.jpg	.	.	Pre	Pre_D2 	Pre_D2 	312	7365928
b15	Same_Control_flower1.jpg	Control	Same	flower1.jpg	.	Pre_Targ 	Pre	Pre_Targ 	Pre_D2 	488	7365928
b15	Same_Control_flower1.jpg	Control	Same	flower1.jpg	Pre_Targ 	Pre_D1 	Pre	Pre_D1 	Pre_Targ 	694	7365928
b15	Same_Control_flower1.jpg	Control	Same	flower1.jpg	Pre_D1 	.	Pre	Pre_D2 	Pre_D1 	980	7365928
b15	Same_Control_flower1.jpg	Control	Same	flower1.jpg	.	Pre_D2 	Pre	Pre_D2 	Pre_D2 	1108	7365928
b15	Same_Control_flower1.jpg	Control	Same	flower1.jpg	Pre_D2 	Pre_Targ 	Pre	Pre_Targ 	Pre_D2 	1528	7365928
b15	Same_Control_flower1.jpg	Control	Same	flower1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	1728	7365928
b15	Same_Control_flower1.jpg	Control	Same	flower1.jpg	Pre_Targ 	.	Pre	Pre_D2 	Pre_Targ 	2064	7365928
b15	Same_Control_flower1.jpg	Control	Same	flower1.jpg	Pre_D2 	Pre_Targ 	Pre	Pre_Targ 	Pre_D2 	2494	7365928
b15	Same_Control_flower1.jpg	Control	Same	flower1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	2758	7365928
b15	Same_Control_flower1.jpg	Control	Same	flower1.jpg	Pre_Targ 	Pre_D1 	Pre	Pre_D1 	Pre_Targ 	3228	7365928
