RECORDING_SESSION_LABEL	trialnum	cond	type	targname	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_INTEREST_AREA_LABEL	IP_LABEL	CURRENT_SAC_NEAREST_END_INTEREST_AREA_LABEL	CURRENT_SAC_NEAREST_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_TIME	IP_START_TIME
b15	Filler	Filler	Filler	pie1.jpg	Pre_D2 	Pre_D2 	Target	Pre_D2 	Pre_D2 	3576	7323540
b15	Filler	Filler	Filler	pie1.jpg	Pre_D2 	Pre_Targ 	Target	Pre_Targ 	Pre_D2 	3850	7323540
b15	Filler	Filler	Filler	pie1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	3956	7323540
b15	Filler	Filler	Filler	pie1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4090	7323540
b15	Filler	Filler	Filler	pie1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4284	7323540
b15	Filler	Filler	Filler	pie1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4668	7323540
b15	Filler	Filler	Filler	pie1.jpg	Pre_Targ 	.	Target	Pre_D1 	Pre_Targ 	6046	7323540
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_D2 	Pre_Targ 	Target	Pre_Targ 	Pre_D2 	3774	7332484
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	3938	7332484
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4272	7332484
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5678	7332484
b15	Filler	Filler	Filler	bike_pump.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5860	7332484
b15	Filler	Filler	Filler	bow1.jpg	.	.	Target	Pre_Targ 	Pre_D1 	3778	7341642
b15	Filler	Filler	Filler	bow1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	3930	7341642
b15	Filler	Filler	Filler	bow1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4254	7341642
b15	Filler	Filler	Filler	bow1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4652	7341642
b15	Filler	Filler	Filler	bow1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5852	7341642
b15	Filler	Filler	Filler	bow1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	6320	7341642
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_D2 	Pre_Targ 	Target	Pre_Targ 	Pre_D2 	3766	7351999
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4104	7351999
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4772	7351999
b15	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5684	7351999
b15	Filler	Filler	Filler	mussel1.jpg	Pre_Targ 	Pre_D2 	Target	Pre_D2 	Pre_Targ 	3582	7360583
b15	Filler	Filler	Filler	mussel1.jpg	Pre_D2 	.	Target	Pre_D2 	Pre_D2 	4018	7360583
b15	Filler	Filler	Filler	mussel1.jpg	.	Pre_Targ 	Target	Pre_Targ 	Pre_D2 	4168	7360583
b15	Filler	Filler	Filler	mussel1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4328	7360583
b15	Filler	Filler	Filler	mussel1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4840	7360583
b15	Filler	Filler	Filler	mussel1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5268	7360583
b15	Filler	Filler	Filler	mussel1.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5848	7360583
