RECORDING_SESSION_LABEL	CURRENT_FIX_INDEX	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_NEAREST_INTEREST_AREA	CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL	CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_LABEL	IP_LABEL	IP_END_TIME	IP_START_TIME	CURRENT_FIX_START	cond	targname	trialnum	type	TRIAL_START_TIME
em	1	[ 1]	1	Pre_Targ 	8.34	122	124	Fixation: 4ms	Pre	326923	322706	4	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	2	[ 1]	1	Pre_Targ 	7.34	144	284	Fixation: 142ms	Pre	326923	322706	142	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	3	[ 1]	1	Pre_Targ 	0.61	272	594	Fixation: 324ms	Pre	326923	322706	324	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	4	[ 3]	3	Pre_D2 	1.21	448	1088	Fixation: 642ms	Pre	326923	322706	642	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	5	[ 2]	2	Pre_D1 	1.50	258	1396	Fixation: 1140ms	Pre	326923	322706	1140	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	6	[ 2]	2	Pre_D1 	2.80	180	1594	Fixation: 1416ms	Pre	326923	322706	1416	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	7	[ 3]	3	Pre_D2 	3.59	128	1782	Fixation: 1656ms	Pre	326923	322706	1656	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	8	[ 3]	3	Pre_D2 	0.70	428	2232	Fixation: 1806ms	Pre	326923	322706	1806	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	9	[ 3]	3	Pre_D2 	1.78	264	2512	Fixation: 2250ms	Pre	326923	322706	2250	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	10	[ 3]	3	Pre_D2 	0.49	416	2946	Fixation: 2532ms	Pre	326923	322706	2532	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	11	[ 3]	3	Pre_D2 	0.89	540	3502	Fixation: 2964ms	Pre	326923	322706	2964	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	12	[ 2]	2	Pre_D1 	1.37	446	4002	Fixation: 3558ms	Pre	326923	322706	3558	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	13	[ 1]	1	Pre_Targ 	2.08	324	4372	Fixation: 4050ms	Pre	326923	322706	4050	Control	chair2.jpg	Same_Control_chair2.jpg	Same	322658
em	1	[ 1]	1	Pre_Targ 	5.62	448	450	Fixation: 4ms	Pre	338200	333982	4	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	2	[ 1]	1	Pre_Targ 	4.23	194	660	Fixation: 468ms	Pre	338200	333982	468	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	3	[ 1]	1	Pre_Targ 	1.08	100	782	Fixation: 684ms	Pre	338200	333982	684	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	4	[ 3]	3	Pre_D2 	3.16	32	864	Fixation: 834ms	Pre	338200	333982	834	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	5	[ 3]	3	Pre_D2 	3.11	108	1070	Fixation: 964ms	Pre	338200	333982	964	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	6	[ 3]	3	Pre_D2 	3.19	28	1166	Fixation: 1140ms	Pre	338200	333982	1140	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	7	[ 3]	3	Pre_D2 	4.04	192	1422	Fixation: 1232ms	Pre	338200	333982	1232	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	8	[ 2]	2	Pre_D1 	1.98	708	2334	Fixation: 1628ms	Pre	338200	333982	1628	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	9	[ 1]	1	Pre_Targ 	1.71	712	3094	Fixation: 2384ms	Pre	338200	333982	2384	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	10	[ 2]	2	Pre_D1 	1.29	74	3228	Fixation: 3156ms	Pre	338200	333982	3156	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	11	[ 2]	2	Pre_D1 	1.21	88	3336	Fixation: 3250ms	Pre	338200	333982	3250	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	12	[ 2]	2	Pre_D1 	2.44	300	3654	Fixation: 3356ms	Pre	338200	333982	3356	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	13	[ 1]	1	Pre_Targ 	2.06	484	4184	Fixation: 3702ms	Pre	338200	333982	3702	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	14	[ 3]	3	Pre_D2 	4.38	234	4472	Fixation: 4240ms	Pre	338200	333982	4240	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	1	[ 2]	2	Pre_D1 	5.08	344	346	Fixation: 4ms	Pre	350276	346059	4	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	2	[ 2]	2	Pre_D1 	1.03	458	826	Fixation: 370ms	Pre	350276	346059	370	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	3	[ 1]	1	Pre_Targ 	0.64	176	1056	Fixation: 882ms	Pre	350276	346059	882	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	4	[ 1]	1	Pre_Targ 	0.98	1076	2146	Fixation: 1072ms	Pre	350276	346059	1072	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	5	[ 3]	3	Pre_D2 	2.06	504	2702	Fixation: 2200ms	Pre	350276	346059	2200	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	6	[ 3]	3	Pre_D2 	1.35	354	3070	Fixation: 2718ms	Pre	350276	346059	2718	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	7	[ 1]	1	Pre_Targ 	1.06	318	3442	Fixation: 3126ms	Pre	350276	346059	3126	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	8	[ 1]	1	Pre_Targ 	7.11	118	3644	Fixation: 3528ms	Pre	350276	346059	3528	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	9	[ 2]	2	Pre_D1 	1.46	316	3986	Fixation: 3672ms	Pre	350276	346059	3672	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	10	[ 2]	2	Pre_D1 	1.79	110	4106	Fixation: 3998ms	Pre	350276	346059	3998	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	11	[ 1]	1	Pre_Targ 	3.28	372	4526	Fixation: 4156ms	Pre	350276	346059	4156	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	1	[ 1]	1	Pre_Targ 	9.94	248	250	Fixation: 4ms	Pre	361126	356909	4	Control	bird2.jpg	Same_Control_bird2.jpg	Same	356856
em	2	[ 1]	1	Pre_Targ 	4.76	156	450	Fixation: 296ms	Pre	361126	356909	296	Control	bird2.jpg	Same_Control_bird2.jpg	Same	356856
em	3	[ 2]	2	Pre_D1 	0.59	202	698	Fixation: 498ms	Pre	361126	356909	498	Control	bird2.jpg	Same_Control_bird2.jpg	Same	356856
em	4	[ 3]	3	Pre_D2 	1.27	880	1620	Fixation: 742ms	Pre	361126	356909	742	Control	bird2.jpg	Same_Control_bird2.jpg	Same	356856
em	5	[ 3]	3	Pre_D2 	1.07	1048	2684	Fixation: 1638ms	Pre	361126	356909	1638	Control	bird2.jpg	Same_Control_bird2.jpg	Same	356856
em	6	[ 3]	3	Pre_D2 	1.77	656	3356	Fixation: 2702ms	Pre	361126	356909	2702	Control	bird2.jpg	Same_Control_bird2.jpg	Same	356856
em	7	[ 2]	2	Pre_D1 	2.52	1082	4490	Fixation: 3410ms	Pre	361126	356909	3410	Control	bird2.jpg	Same_Control_bird2.jpg	Same	356856
em	1	[ 1]	1	Pre_Targ 	5.92	368	370	Fixation: 4ms	Pre	373722	369506	4	Ambig	fish2.jpg	Same_Ambig_fish2.jpg	Same	369446
em	2	[ 2]	2	Pre_D1 	0.95	168	586	Fixation: 420ms	Pre	373722	369506	420	Ambig	fish2.jpg	Same_Ambig_fish2.jpg	Same	369446
em	3	[ 3]	3	Pre_D2 	2.39	390	1024	Fixation: 636ms	Pre	373722	369506	636	Ambig	fish2.jpg	Same_Ambig_fish2.jpg	Same	369446
