RECORDING_SESSION_LABEL	CURRENT_FIX_INDEX	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_NEAREST_INTEREST_AREA	CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL	CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_LABEL	IP_LABEL	IP_END_TIME	IP_START_TIME	CURRENT_FIX_START	cond	targname	trialnum	type	TRIAL_START_TIME
em	1	[ 2]	2	Pre_D1 	1.48	630	8188	Fixation: 7560ms	Reward	343173	342007	7560	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	2	[ 1]	1	Pre_Targ 	1.83	360	8592	Fixation: 8234ms	Reward	343173	342007	8234	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	3	[ 1]	1	Pre_Targ 	0.44	398	9006	Fixation: 8610ms	Reward	343173	342007	8610	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	4	[ 3]	3	Pre_D2 	3.02	180	9238	Fixation: 9060ms	Reward	343173	342007	9060	Ambig	flower2.jpg	Same_Ambig_flower2.jpg	Same	333930
em	1	[ 2]	2	Pre_D1 	1.43	224	7780	Fixation: 7558ms	Reward	354130	352963	7558	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	2	[ 2]	2	Pre_D1 	0.94	368	8160	Fixation: 7794ms	Reward	354130	352963	7794	Control	cat2.jpg	Same_Control_cat2.jpg	Same	346008
em	1	[ 1]	1	Pre_Targ 	1.62	326	9162	Fixation: 8838ms	Reward	366859	365693	8838	Control	bird2.jpg	Same_Control_bird2.jpg	Same	356856
em	2	[ 1]	1	Pre_Targ 	0.73	398	9572	Fixation: 9176ms	Reward	366859	365693	9176	Control	bird2.jpg	Same_Control_bird2.jpg	Same	356856
em	3	[ 2]	2	Pre_D1 	1.35	320	9946	Fixation: 9628ms	Reward	366859	365693	9628	Control	bird2.jpg	Same_Control_bird2.jpg	Same	356856
em	4	[ 2]	2	Pre_D1 	1.48	76	10042	Fixation: 9968ms	Reward	366859	365693	9968	Control	bird2.jpg	Same_Control_bird2.jpg	Same	356856
em	1	[ 2]	2	Pre_D1 	2.02	416	7082	Fixation: 6668ms	Reward	377416	376250	6668	Ambig	fish2.jpg	Same_Ambig_fish2.jpg	Same	369446
em	2	[ 2]	2	Pre_D1 	2.64	896	7990	Fixation: 7096ms	Reward	377416	376250	7096	Ambig	fish2.jpg	Same_Ambig_fish2.jpg	Same	369446
em	1	[ 2]	2	Pre_D1 	3.18	18	7606	Fixation: 7590ms	Reward	388946	387780	7590	Ambig	leaf2.jpg	Same_Ambig_leaf2.jpg	Same	380226
em	2	[ 2]	2	Pre_D1 	0.38	1138	8758	Fixation: 7622ms	Reward	388946	387780	7622	Ambig	leaf2.jpg	Same_Ambig_leaf2.jpg	Same	380226
em	1	[ 1]	1	Pre_Targ 	4.01	376	8746	Fixation: 8372ms	Reward	402862	401696	8372	Control	dog2.jpg	Same_Control_dog2.jpg	Same	393306
em	2	[ 1]	1	Pre_Targ 	2.46	828	9596	Fixation: 8770ms	Reward	402862	401696	8770	Control	dog2.jpg	Same_Control_dog2.jpg	Same	393306
em	1	[ 1]	1	Pre_Targ 	2.71	776	6696	Fixation: 5922ms	Reward	412846	411680	5922	Control	book2.jpg	Same_Control_book2.jpg	Same	405600
em	2	[ 3]	3	Pre_D2 	1.61	540	7284	Fixation: 6746ms	Reward	412846	411680	6746	Control	book2.jpg	Same_Control_book2.jpg	Same	405600
em	1	[ 1]	1	Pre_Targ 	1.86	1218	9954	Fixation: 8738ms	Reward	425922	424756	8738	Ambig	penguin2.jpg	Same_Ambig_penguin2.jpg	Same	416006
em	1	[ 2]	2	Pre_D1 	2.14	334	7130	Fixation: 6798ms	Reward	476894	475728	6798	Control	bike2.jpg	Same_Control_bike2.jpg	Same	468898
em	2	[ 1]	1	Pre_Targ 	1.53	330	7518	Fixation: 7190ms	Reward	476894	475728	7190	Control	bike2.jpg	Same_Control_bike2.jpg	Same	468898
em	3	[ 1]	1	Pre_Targ 	1.16	500	8036	Fixation: 7538ms	Reward	476894	475728	7538	Control	bike2.jpg	Same_Control_bike2.jpg	Same	468898
em	1	[ 3]	3	Pre_D2 	1.88	1200	7828	Fixation: 6630ms	Reward	489184	488018	6630	Ambig	spoon2.jpg	Same_Ambig_spoon2.jpg	Same	480982
em	2	[ 3]	3	Pre_D2 	1.49	392	8240	Fixation: 7850ms	Reward	489184	488018	7850	Ambig	spoon2.jpg	Same_Ambig_spoon2.jpg	Same	480982
em	1	[ 3]	3	Pre_D2 	4.18	856	14876	Fixation: 14022ms	Reward	508072	506906	14022	Ambig	tree2.jpg	Same_Ambig_tree2.jpg	Same	492832
em	2	[ 3]	3	Pre_D2 	3.13	208	15120	Fixation: 14914ms	Reward	508072	506906	14914	Ambig	tree2.jpg	Same_Ambig_tree2.jpg	Same	492832
em	3	[ 3]	3	Pre_D2 	4.30	144	15278	Fixation: 15136ms	Reward	508072	506906	15136	Ambig	tree2.jpg	Same_Ambig_tree2.jpg	Same	492832
em	1	[ 1]	1	Pre_Targ 	1.10	504	6492	Fixation: 5990ms	Reward	518602	517436	5990	Control	car2.jpg	Same_Control_car2.jpg	Same	510984
em	2	[ 1]	1	Pre_Targ 	1.88	628	7140	Fixation: 6514ms	Reward	518602	517436	6514	Control	car2.jpg	Same_Control_car2.jpg	Same	510984
em	3	[ 1]	1	Pre_Targ 	0.39	492	7656	Fixation: 7166ms	Reward	518602	517436	7166	Control	car2.jpg	Same_Control_car2.jpg	Same	510984
em	1	[ 1]	1	Pre_Targ 	2.53	588	10310	Fixation: 9724ms	Reward	533238	532071	9724	Ambig	toothbrush2.jpg	Same_Ambig_toothbrush2.jpg	Same	522362
em	2	[ 1]	1	Pre_Targ 	0.99	582	10914	Fixation: 10334ms	Reward	533238	532071	10334	Ambig	toothbrush2.jpg	Same_Ambig_toothbrush2.jpg	Same	522362
cm27021	1	[ 1]	1	Pre_Targ 	2.98	1110	14134	Fixation: 13026ms	Reward	2383853	2382687	13026	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	2369265
cm27021	2	[ 1]	1	Pre_Targ 	1.88	476	14628	Fixation: 14154ms	Reward	2383853	2382687	14154	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	2369265
cm27021	1	[ 1]	1	Pre_Targ 	4.53	328	7998	Fixation: 7672ms	Reward	2394956	2393791	7672	Control	spoon1.jpg	Same_Control_spoon1.jpg	Same	2386297
cm27021	2	[ 1]	1	Pre_Targ 	4.65	164	8180	Fixation: 8018ms	Reward	2394956	2393791	8018	Control	spoon1.jpg	Same_Control_spoon1.jpg	Same	2386297
cm27021	3	[ 2]	2	Pre_D1 	3.29	358	8568	Fixation: 8212ms	Reward	2394956	2393791	8212	Control	spoon1.jpg	Same_Control_spoon1.jpg	Same	2386297
cm27021	4	[ 2]	2	Pre_D1 	0.64	106	8698	Fixation: 8594ms	Reward	2394956	2393791	8594	Control	spoon1.jpg	Same_Control_spoon1.jpg	Same	2386297
cm27021	1	[ 1]	1	Pre_Targ 	1.43	674	7952	Fixation: 7280ms	Reward	2405913	2404748	7280	Ambig	book1.jpg	Same_Ambig_book1.jpg	Same	2397299
cm27021	2	[ 1]	1	Pre_Targ 	4.28	502	8476	Fixation: 7976ms	Reward	2405913	2404748	7976	Ambig	book1.jpg	Same_Ambig_book1.jpg	Same	2397299
cm27021	3	[ 3]	3	Pre_D2 	1.39	136	8652	Fixation: 8518ms	Reward	2405913	2404748	8518	Ambig	book1.jpg	Same_Ambig_book1.jpg	Same	2397299
cm27021	1	[ 2]	2	Pre_D1 	2.45	354	7234	Fixation: 6882ms	Reward	2416604	2415437	6882	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	2408483
cm27021	2	[ 1]	1	Pre_Targ 	2.64	206	7482	Fixation: 7278ms	Reward	2416604	2415437	7278	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	2408483
cm27021	3	[ 1]	1	Pre_Targ 	1.37	500	7998	Fixation: 7500ms	Reward	2416604	2415437	7500	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	2408483
cm27021	4	[ 2]	2	Pre_D1 	0.92	120	8160	Fixation: 8042ms	Reward	2416604	2415437	8042	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	2408483
cm27021	1	[ 1]	1	Pre_Targ 	0.96	560	8342	Fixation: 7784ms	Reward	2427160	2425994	7784	Control	shoe1.jpg	Same_Control_shoe1.jpg	Same	2418857
cm27021	1	[ 1]	1	Pre_Targ 	1.55	182	7418	Fixation: 7238ms	Reward	2437278	2436112	7238	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	2429445
cm27021	2	[ 1]	1	Pre_Targ 	2.41	440	7872	Fixation: 7434ms	Reward	2437278	2436112	7434	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	2429445
cm27021	1	[ 2]	2	Pre_D1 	4.03	208	6736	Fixation: 6530ms	Reward	2447447	2446282	6530	Control	fish1.jpg	Same_Control_fish1.jpg	Same	2439753
cm27021	2	[ 2]	2	Pre_D1 	0.48	344	7104	Fixation: 6762ms	Reward	2447447	2446282	6762	Control	fish1.jpg	Same_Control_fish1.jpg	Same	2439753
cm27021	3	[ 1]	1	Pre_Targ 	2.63	262	7408	Fixation: 7148ms	Reward	2447447	2446282	7148	Control	fish1.jpg	Same_Control_fish1.jpg	Same	2439753
cm27021	4	[ 1]	1	Pre_Targ 	2.99	308	7734	Fixation: 7428ms	Reward	2447447	2446282	7428	Control	fish1.jpg	Same_Control_fish1.jpg	Same	2439753
cm27021	1	[ 1]	1	Pre_Targ 	6.30	98	7070	Fixation: 6974ms	Reward	2457312	2456146	6974	Ambig	bus1.jpg	Same_Ambig_bus1.jpg	Same	2449553
cm27021	2	[ 1]	1	Pre_Targ 	2.93	706	7798	Fixation: 7094ms	Reward	2457312	2456146	7094	Ambig	bus1.jpg	Same_Ambig_bus1.jpg	Same	2449553
cm27021	1	[ 1]	1	Pre_Targ 	5.73	332	7688	Fixation: 7358ms	Reward	2468788	2467622	7358	Control	flower1.jpg	Same_Control_flower1.jpg	Same	2460773
cm27021	2	[ 1]	1	Pre_Targ 	1.79	344	8054	Fixation: 7712ms	Reward	2468788	2467622	7712	Control	flower1.jpg	Same_Control_flower1.jpg	Same	2460773
cm27021	1	[ 1]	1	Pre_Targ 	5.53	198	7144	Fixation: 6948ms	Reward	2478759	2477593	6948	Ambig	chair1.jpg	Same_Ambig_chair1.jpg	Same	2471007
cm27021	2	[ 1]	1	Pre_Targ 	0.78	446	7614	Fixation: 7170ms	Reward	2478759	2477593	7170	Ambig	chair1.jpg	Same_Ambig_chair1.jpg	Same	2471007
cm27021	3	[ 1]	1	Pre_Targ 	1.45	164	7790	Fixation: 7628ms	Reward	2478759	2477593	7628	Ambig	chair1.jpg	Same_Ambig_chair1.jpg	Same	2471007
cm27021	1	[ 1]	1	Pre_Targ 	4.37	168	8542	Fixation: 8376ms	Reward	2490382	2489216	8376	Ambig	dog1.jpg	Same_Ambig_dog1.jpg	Same	2481403
