RECORDING_SESSION_LABEL	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
KidSubjExpt2-60	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Control_chair2.jpg	"(753, 90)"	chair2.jpg	Reward	331296	330130	Same	Control
KidSubjExpt2-60	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Control_chair2.jpg	"(753, 90)"	chair2.jpg	Reward	331296	330130	Same	Control
KidSubjExpt2-60	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Control_chair2.jpg	"(753, 90)"	chair2.jpg	Reward	331296	330130	Same	Control
KidSubjExpt2-60	RIGHT	318.5	758	0.4834	0.5	2	Pre_Targ 	1	.	1	1568	4	Same_Ambig_flower2.jpg	"(477, 554)"	flower2.jpg	Reward	343173	342007	Same	Ambig
KidSubjExpt2-60	RIGHT	278	630	0.4018	0.25	1	Pre_D1 	2	.	1	1568	4	Same_Ambig_flower2.jpg	"(477, 554)"	flower2.jpg	Reward	343173	342007	Same	Ambig
KidSubjExpt2-60	RIGHT	279	180	0.1148	0.25	1	Pre_D2 	3	.	1	1568	4	Same_Ambig_flower2.jpg	"(477, 554)"	flower2.jpg	Reward	343173	342007	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_Targ 	1	.	0	592	2	Same_Control_cat2.jpg	"(753, 90)"	cat2.jpg	Reward	354130	352963	Same	Control
KidSubjExpt2-60	RIGHT	327	592	1	1	2	Pre_D1 	2	.	1	592	2	Same_Control_cat2.jpg	"(753, 90)"	cat2.jpg	Reward	354130	352963	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	592	2	Same_Control_cat2.jpg	"(753, 90)"	cat2.jpg	Reward	354130	352963	Same	Control
KidSubjExpt2-60	RIGHT	387	724	0.6464	0.5	2	Pre_Targ 	1	.	1	1120	4	Same_Control_bird2.jpg	"(147, 90)"	bird2.jpg	Reward	366859	365693	Same	Control
KidSubjExpt2-60	RIGHT	351.5	396	0.3536	0.5	2	Pre_D1 	2	.	1	1120	4	Same_Control_bird2.jpg	"(147, 90)"	bird2.jpg	Reward	366859	365693	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1120	4	Same_Control_bird2.jpg	"(147, 90)"	bird2.jpg	Reward	366859	365693	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_Targ 	1	.	0	1312	2	Same_Ambig_fish2.jpg	"(477, 554)"	fish2.jpg	Reward	377416	376250	Same	Ambig
KidSubjExpt2-60	RIGHT	301	1312	1	1	2	Pre_D1 	2	.	1	1312	2	Same_Ambig_fish2.jpg	"(477, 554)"	fish2.jpg	Reward	377416	376250	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1312	2	Same_Ambig_fish2.jpg	"(477, 554)"	fish2.jpg	Reward	377416	376250	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_Targ 	1	.	0	1156	2	Same_Ambig_leaf2.jpg	"(477, 554)"	leaf2.jpg	Reward	388946	387780	Same	Ambig
KidSubjExpt2-60	RIGHT	265	1156	1	1	2	Pre_D1 	2	.	1	1156	2	Same_Ambig_leaf2.jpg	"(477, 554)"	leaf2.jpg	Reward	388946	387780	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1156	2	Same_Ambig_leaf2.jpg	"(477, 554)"	leaf2.jpg	Reward	388946	387780	Same	Ambig
KidSubjExpt2-60	RIGHT	319.5	1204	1	1	2	Pre_Targ 	1	.	1	1204	2	Same_Control_dog2.jpg	"(477, 554)"	dog2.jpg	Reward	402862	401696	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1204	2	Same_Control_dog2.jpg	"(477, 554)"	dog2.jpg	Reward	402862	401696	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1204	2	Same_Control_dog2.jpg	"(477, 554)"	dog2.jpg	Reward	402862	401696	Same	Control
KidSubjExpt2-60	RIGHT	338	776	0.5897	0.5	1	Pre_Targ 	1	.	1	1316	2	Same_Control_book2.jpg	"(477, 554)"	book2.jpg	Reward	412846	411680	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1316	2	Same_Control_book2.jpg	"(477, 554)"	book2.jpg	Reward	412846	411680	Same	Control
KidSubjExpt2-60	RIGHT	293	540	0.4103	0.5	1	Pre_D2 	3	.	1	1316	2	Same_Control_book2.jpg	"(477, 554)"	book2.jpg	Reward	412846	411680	Same	Control
KidSubjExpt2-60	RIGHT	370	1218	1	1	1	Pre_Targ 	1	.	1	1218	1	Same_Ambig_penguin2.jpg	"(147, 90)"	penguin2.jpg	Reward	425922	424756	Same	Ambig
