RECORDING_SESSION_LABEL	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
KidSubjExpt2-60	RIGHT	273	1018	0.8961	0.75	3	Pre_Targ 	1	.	2	1136	4	Same_Control_chair2.jpg	"(753, 90)"	chair2.jpg	Target	330095	326958	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1136	4	Same_Control_chair2.jpg	"(753, 90)"	chair2.jpg	Target	330095	326958	Same	Control
KidSubjExpt2-60	RIGHT	283	118	0.1039	0.25	1	Pre_D2 	3	.	1	1136	4	Same_Control_chair2.jpg	"(753, 90)"	chair2.jpg	Target	330095	326958	Same	Control
KidSubjExpt2-60	RIGHT	355.33	2136	0.617	0.2727	3	Pre_Targ 	1	.	1	3462	11	Same_Ambig_flower2.jpg	"(477, 554)"	flower2.jpg	Target	341972	338235	Same	Ambig
KidSubjExpt2-60	RIGHT	280.57	1092	0.3154	0.6364	7	Pre_D1 	2	.	1	3462	11	Same_Ambig_flower2.jpg	"(477, 554)"	flower2.jpg	Target	341972	338235	Same	Ambig
KidSubjExpt2-60	RIGHT	320	234	0.0676	0.0909	1	Pre_D2 	3	.	1	3462	11	Same_Ambig_flower2.jpg	"(477, 554)"	flower2.jpg	Target	341972	338235	Same	Ambig
KidSubjExpt2-60	RIGHT	325	1048	1	1	3	Pre_Targ 	1	.	1	1048	3	Same_Control_cat2.jpg	"(753, 90)"	cat2.jpg	Target	352928	350311	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1048	3	Same_Control_cat2.jpg	"(753, 90)"	cat2.jpg	Target	352928	350311	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1048	3	Same_Control_cat2.jpg	"(753, 90)"	cat2.jpg	Target	352928	350311	Same	Control
KidSubjExpt2-60	RIGHT	377.17	3174	0.7458	0.8571	6	Pre_Targ 	1	.	1	4256	7	Same_Control_bird2.jpg	"(147, 90)"	bird2.jpg	Target	365658	361161	Same	Control
KidSubjExpt2-60	RIGHT	334	1082	0.2542	0.1429	1	Pre_D1 	2	.	1	4256	7	Same_Control_bird2.jpg	"(147, 90)"	bird2.jpg	Target	365658	361161	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	4256	7	Same_Control_bird2.jpg	"(147, 90)"	bird2.jpg	Target	365658	361161	Same	Control
KidSubjExpt2-60	RIGHT	381.5	1850	0.7066	0.5714	4	Pre_Targ 	1	.	1	2618	7	Same_Ambig_fish2.jpg	"(477, 554)"	fish2.jpg	Target	376215	373757	Same	Ambig
KidSubjExpt2-60	RIGHT	282	416	0.1589	0.1429	1	Pre_D1 	2	.	1	2618	7	Same_Ambig_fish2.jpg	"(477, 554)"	fish2.jpg	Target	376215	373757	Same	Ambig
KidSubjExpt2-60	RIGHT	352	352	0.1345	0.2857	2	Pre_D2 	3	.	1	2618	7	Same_Ambig_fish2.jpg	"(477, 554)"	fish2.jpg	Target	376215	373757	Same	Ambig
KidSubjExpt2-60	RIGHT	345.4	2906	0.6554	0.8333	5	Pre_Targ 	1	.	1	4434	6	Same_Ambig_leaf2.jpg	"(477, 554)"	leaf2.jpg	Target	387745	384528	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	4434	6	Same_Ambig_leaf2.jpg	"(477, 554)"	leaf2.jpg	Target	387745	384528	Same	Ambig
KidSubjExpt2-60	RIGHT	249	1528	0.3446	0.1667	1	Pre_D2 	3	.	1	4434	6	Same_Ambig_leaf2.jpg	"(477, 554)"	leaf2.jpg	Target	387745	384528	Same	Ambig
KidSubjExpt2-60	RIGHT	316	3130	0.7916	0.625	5	Pre_Targ 	1	.	2	3954	8	Same_Control_dog2.jpg	"(477, 554)"	dog2.jpg	Target	401661	397618	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	3954	8	Same_Control_dog2.jpg	"(477, 554)"	dog2.jpg	Target	401661	397618	Same	Control
KidSubjExpt2-60	RIGHT	326.67	824	0.2084	0.375	3	Pre_D2 	3	.	2	3954	8	Same_Control_dog2.jpg	"(477, 554)"	dog2.jpg	Target	401661	397618	Same	Control
KidSubjExpt2-60	RIGHT	317.6	2800	1	1	5	Pre_Targ 	1	.	1	2800	5	Same_Control_book2.jpg	"(477, 554)"	book2.jpg	Target	411645	409907	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	2800	5	Same_Control_book2.jpg	"(477, 554)"	book2.jpg	Target	411645	409907	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	2800	5	Same_Control_book2.jpg	"(477, 554)"	book2.jpg	Target	411645	409907	Same	Control
KidSubjExpt2-60	RIGHT	331.83	3216	0.7353	0.6	6	Pre_Targ 	1	.	2	4374	10	Same_Ambig_penguin2.jpg	"(147, 90)"	penguin2.jpg	Target	424721	420317	Same	Ambig
KidSubjExpt2-60	RIGHT	331	708	0.1619	0.2	2	Pre_D1 	2	.	1	4374	10	Same_Ambig_penguin2.jpg	"(147, 90)"	penguin2.jpg	Target	424721	420317	Same	Ambig
KidSubjExpt2-60	RIGHT	296	450	0.1029	0.2	2	Pre_D2 	3	.	1	4374	10	Same_Ambig_penguin2.jpg	"(147, 90)"	penguin2.jpg	Target	424721	420317	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Ambig_shoe2.jpg	"(147, 90)"	shoe2.jpg	Target	439317	433167	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Ambig_shoe2.jpg	"(147, 90)"	shoe2.jpg	Target	439317	433167	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Ambig_shoe2.jpg	"(147, 90)"	shoe2.jpg	Target	439317	433167	Same	Ambig
KidSubjExpt2-60	RIGHT	372	1234	0.8981	0.8	4	Pre_Targ 	1	.	1	1374	5	Same_Control_bus2.jpg	"(477, 554)"	bus2.jpg	Target	457139	446923	Same	Control
KidSubjExpt2-60	RIGHT	342	140	0.1019	0.2	1	Pre_D1 	2	.	1	1374	5	Same_Control_bus2.jpg	"(477, 554)"	bus2.jpg	Target	457139	446923	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1374	5	Same_Control_bus2.jpg	"(477, 554)"	bus2.jpg	Target	457139	446923	Same	Control
KidSubjExpt2-60	RIGHT	351.8	2498	0.8383	0.7143	5	Pre_Targ 	1	.	1	2980	7	Same_Control_bike2.jpg	"(147, 90)"	bike2.jpg	Target	475693	473209	Same	Control
KidSubjExpt2-60	RIGHT	399	482	0.1617	0.2857	2	Pre_D1 	2	.	1	2980	7	Same_Control_bike2.jpg	"(147, 90)"	bike2.jpg	Target	475693	473209	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	2980	7	Same_Control_bike2.jpg	"(147, 90)"	bike2.jpg	Target	475693	473209	Same	Control
KidSubjExpt2-60	RIGHT	282.4	1948	0.382	0.7143	5	Pre_Targ 	1	.	1	5100	7	Same_Ambig_spoon2.jpg	"(147, 90)"	spoon2.jpg	Target	487983	485285	Same	Ambig
KidSubjExpt2-60	RIGHT	267	1952	0.3827	0.1429	1	Pre_D1 	2	.	1	5100	7	Same_Ambig_spoon2.jpg	"(147, 90)"	spoon2.jpg	Target	487983	485285	Same	Ambig
KidSubjExpt2-60	RIGHT	282	1200	0.2353	0.1429	1	Pre_D2 	3	.	1	5100	7	Same_Ambig_spoon2.jpg	"(147, 90)"	spoon2.jpg	Target	487983	485285	Same	Ambig
KidSubjExpt2-60	RIGHT	315.75	7964	0.6817	0.8	12	Pre_Targ 	1	.	1	11682	15	Same_Ambig_tree2.jpg	"(477, 554)"	tree2.jpg	Target	506871	497135	Same	Ambig
KidSubjExpt2-60	RIGHT	292.5	2862	0.245	0.1333	2	Pre_D1 	2	.	2	11682	15	Same_Ambig_tree2.jpg	"(477, 554)"	tree2.jpg	Target	506871	497135	Same	Ambig
KidSubjExpt2-60	RIGHT	298	856	0.0733	0.0667	1	Pre_D2 	3	.	1	11682	15	Same_Ambig_tree2.jpg	"(477, 554)"	tree2.jpg	Target	506871	497135	Same	Ambig
KidSubjExpt2-60	RIGHT	298.75	1810	0.8212	0.6667	4	Pre_Targ 	1	.	1	2204	6	Same_Control_car2.jpg	"(147, 90)"	car2.jpg	Target	517401	515290	Same	Control
KidSubjExpt2-60	RIGHT	276.5	394	0.1788	0.3333	2	Pre_D1 	2	.	1	2204	6	Same_Control_car2.jpg	"(147, 90)"	car2.jpg	Target	517401	515290	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	2204	6	Same_Control_car2.jpg	"(147, 90)"	car2.jpg	Target	517401	515290	Same	Control
KidSubjExpt2-60	RIGHT	245.7	5470	1	1	10	Pre_Targ 	1	.	1	5470	10	Same_Ambig_toothbrush2.jpg	"(753, 90)"	toothbrush2.jpg	Target	532036	526674	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	5470	10	Same_Ambig_toothbrush2.jpg	"(753, 90)"	toothbrush2.jpg	Target	532036	526674	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	5470	10	Same_Ambig_toothbrush2.jpg	"(753, 90)"	toothbrush2.jpg	Target	532036	526674	Same	Ambig
KidSubjExpt2-66	RIGHT	395.25	7446	0.8368	0.8696	20	Pre_Targ 	1	.	2	8898	23	Same_Control_toothbrush1.jpg	"(753, 90)"	toothbrush1.jpg	Target	2382652	2373569	Same	Control
KidSubjExpt2-66	RIGHT	369.5	602	0.0677	0.087	2	Pre_D1 	2	.	1	8898	23	Same_Control_toothbrush1.jpg	"(753, 90)"	toothbrush1.jpg	Target	2382652	2373569	Same	Control
