RECORDING_SESSION_LABEL	trialnum	cond	type	targname	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_INTEREST_AREA_LABEL	IP_LABEL	CURRENT_SAC_NEAREST_END_INTEREST_AREA_LABEL	CURRENT_SAC_NEAREST_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_TIME	IP_START_TIME
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	.	.	Pre	Pre_Targ 	Pre_Targ 	140	322706
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	.	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	322	322706
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	640	322706
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_D2 	Pre_D1 	Pre	Pre_D1 	Pre_D2 	1138	322706
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	1414	322706
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_D1 	Pre_D2 	Pre	Pre_D2 	Pre_D1 	1654	322706
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	1804	322706
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	2248	322706
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	2530	322706
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	2962	322706
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_D2 	Pre_D1 	Pre	Pre_D1 	Pre_D2 	3556	322706
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_D1 	Pre_Targ 	Pre	Pre_Targ 	Pre_D1 	4048	322706
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	.	.	Pre	Pre_Targ 	Pre_Targ 	466	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	682	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	832	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	962	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	1138	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	1230	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_D2 	.	Pre	Pre_D1 	Pre_D2 	1626	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_D1 	Pre_Targ 	Pre	Pre_Targ 	Pre_D1 	2382	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_Targ 	Pre_D1 	Pre	Pre_D1 	Pre_Targ 	3154	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_Targ 	Pre_D1 	Pre	Pre_D1 	Pre_Targ 	3248	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	3354	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_D1 	Pre_Targ 	Pre	Pre_Targ 	Pre_D1 	3700	333982
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	4238	333982
