RECORDING_SESSION_LABEL	trialnum	cond	type	targname	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_INTEREST_AREA_LABEL	IP_LABEL	CURRENT_SAC_NEAREST_END_INTEREST_AREA_LABEL	CURRENT_SAC_NEAREST_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_TIME	IP_START_TIME
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_Targ 	.	Target	Pre_Targ 	Pre_Targ 	4402	326958
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	.	Pre_Targ 	Target	Pre_Targ 	Pre_D2 	4564	326958
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4836	326958
em	Same_Control_chair2.jpg	Control	Same	chair2.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	8680	326958
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_D2 	.	Target	Pre_Targ 	Pre_D2 	4502	338235
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	.	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4792	338235
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5086	338235
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_Targ 	Pre_D1 	Target	Pre_D1 	Pre_Targ 	6726	338235
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_D1 	Pre_D1 	Target	Pre_D1 	Pre_D1 	6962	338235
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_D1 	Pre_D1 	Target	Pre_D1 	Pre_D1 	7108	338235
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_D1 	Pre_D1 	Target	Pre_D1 	Pre_D1 	7266	338235
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_D1 	Pre_D1 	Target	Pre_D1 	Pre_D1 	7384	338235
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_D1 	Pre_D1 	Target	Pre_D1 	Pre_D1 	7438	338235
em	Same_Ambig_flower2.jpg	Ambig	Same	flower2.jpg	Pre_D1 	Pre_D1 	Target	Pre_D1 	Pre_D1 	7558	338235
em	Same_Control_cat2.jpg	Control	Same	cat2.jpg	Pre_Targ 	.	Target	Pre_Targ 	Pre_Targ 	4548	350311
em	Same_Control_cat2.jpg	Control	Same	cat2.jpg	.	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4974	350311
em	Same_Control_cat2.jpg	Control	Same	cat2.jpg	Pre_D2 	Pre_D1 	Target	Pre_D1 	Pre_D2 	7556	350311
em	Same_Control_bird2.jpg	Control	Same	bird2.jpg	Pre_D1 	Pre_Targ 	Target	Pre_Targ 	Pre_D1 	4534	361161
em	Same_Control_bird2.jpg	Control	Same	bird2.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	4830	361161
em	Same_Control_bird2.jpg	Control	Same	bird2.jpg	Pre_Targ 	Pre_Targ 	Target	Pre_Targ 	Pre_Targ 	5050	361161
