Subj	AgeGroup	Lang
KidSubjExpt2-1	Old	Bi
KidSubjExpt2-2	Old	Bi
KidSubjExpt2-3	Old	Bi
KidSubjExpt2-4	Old	Mon
KidSubjExpt2-5	Old	Mon
KidSubjExpt2-6	Old	Mon
KidSubjExpt2-7	Old	Bi
KidSubjExpt2-8	Old	Bi
KidSubjExpt2-9	Old	Mon
KidSubjExpt2-10	Old	Mon
KidSubjExpt2-11	Old	Bi
KidSubjExpt2-12	Old	Mon
KidSubjExpt2-13	Old	Bi
KidSubjExpt2-14	Old	Bi
KidSubjExpt2-15	Old	Mon
KidSubjExpt2-16	Old	Mon
KidSubjExpt2-17	Old	Bi
KidSubjExpt2-18	Old	Bi
KidSubjExpt2-19	Old	Mon
KidSubjExpt2-20	Excl	Bi
KidSubjExpt2-21	Excl	Bi
KidSubjExpt2-22	Old	Bi
KidSubjExpt2-23	Old	Bi
KidSubjExpt2-24	Old	Bi
KidSubjExpt2-25	Old	Bi
KidSubjExpt2-26	Excl	Bi
KidSubjExpt2-27	Old	Mon
KidSubjExpt2-28	Old	Mon
KidSubjExpt2-29	Old	Mon
KidSubjExpt2-30	Old	Mon
KidSubjExpt2-31	Old	Bi
KidSubjExpt2-32	Old	Bi
KidSubjExpt2-33	Old	Mon
KidSubjExpt2-34	Old	Mon
KidSubjExpt2-35	Excl	Mon
KidSubjExpt2-36	Old	Bi
KidSubjExpt2-37	Old	Bi
KidSubjExpt2-38	Young	Exc
KidSubjExpt2-39	Young	Mon
KidSubjExpt2-40	Young	Mon
KidSubjExpt2-41	Young	Exc
KidSubjExpt2-42	Young	Mon
KidSubjExpt2-43	Young	Exc
KidSubjExpt2-44	Young	Mon
KidSubjExpt2-45	Young	Mon
KidSubjExpt2-46	Young	Mon
KidSubjExpt2-47	Young	Exc
KidSubjExpt2-48	Young	Mon
KidSubjExpt2-49	Young	Mon
KidSubjExpt2-50	Young	Mon
KidSubjExpt2-51	Young	Mon
KidSubjExpt2-52	Young	Mon
KidSubjExpt2-53	Young	Mon
KidSubjExpt2-54	Young	Mon
KidSubjExpt2-55	Young	Mon
KidSubjExpt2-56	Young	Mon
KidSubjExpt2-57	Young	Exc
KidSubjExpt2-58	Young	Mon
KidSubjExpt2-59	Young	Exc
KidSubjExpt2-60	Young	Mon
KidSubjExpt2-61	Young	Mon
KidSubjExpt2-62	Young	Exc
KidSubjExpt2-63	Young	Exc
KidSubjExpt2-64	Young	Mon
KidSubjExpt2-65	Young	Mon
KidSubjExpt2-66	Young	Mon
KidSubjExpt2-67	Young	Mon
KidSubjExpt2-68	Young	Mon
KidSubjExpt2-69	Young	Mon
KidSubjExpt2-70	Young	Exc
KidSubjExpt2-71	Young	Mon
KidSubjExpt2-72	Young	Exc
KidSubjExpt2-73	Young	Mon
KidSubjExpt2-74	Young	Mon
KidSubjExpt2-75	Young	Mon
KidSubjExpt2-76	Young	Exc
KidSubjExpt2-77	Young	Mon
KidSubjExpt2-78	Young	Mon
KidSubjExpt2-79	Young	Exc
KidSubjExpt2-80	Young	Mon
