"Subj"	"trialnum"	"Label"	"StartTime"
"KidSubjExpt2-80"	"Same_Ambig_fish1.jpg"	1	1053
"KidSubjExpt2-80"	"Same_Ambig_flower1.jpg"	1	975
"KidSubjExpt2-80"	"Same_Ambig_leaf1.jpg"	0	1475
"KidSubjExpt2-80"	"Same_Ambig_penguin1.jpg"	1	987
"KidSubjExpt2-80"	"Same_Ambig_shoe1.jpg"	1	925
"KidSubjExpt2-80"	"Same_Ambig_spoon1.jpg"	1	1006
"KidSubjExpt2-80"	"Same_Ambig_toothbrush1.jpg"	1	1130
"KidSubjExpt2-80"	"Same_Ambig_tree1.jpg"	1	1642
"KidSubjExpt2-80"	"Same_Control_bike1.jpg"	1	1709
"KidSubjExpt2-80"	"Same_Control_bird1.jpg"	1	1211
"KidSubjExpt2-80"	"Same_Control_book1.jpg"	1	1151
"KidSubjExpt2-80"	"Same_Control_bus1.jpg"	1	1335
"KidSubjExpt2-80"	"Same_Control_car1.jpg"	1	1377
"KidSubjExpt2-80"	"Same_Control_cat1.jpg"	1	2034
"KidSubjExpt2-80"	"Same_Control_chair1.jpg"	1	1484
"KidSubjExpt2-80"	"Same_Control_dog1.jpg"	1	1016
"KidSubjExpt2-79"	"Same_Ambig_bike1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Ambig_bird1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Ambig_book1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Ambig_bus1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Ambig_car1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Ambig_cat1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Ambig_chair1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Ambig_dog1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Control_fish1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Control_flower1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Control_leaf1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Control_penguin1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Control_shoe1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Control_spoon1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Control_toothbrush1.jpg"	NA	NA
"KidSubjExpt2-79"	"Same_Control_tree1.jpg"	NA	NA
"KidSubjExpt2-78"	"Same_Ambig_bike1.jpg"	0	2902
"KidSubjExpt2-78"	"Same_Ambig_bird1.jpg"	0	3147
"KidSubjExpt2-78"	"Same_Ambig_book1.jpg"	1	1646
"KidSubjExpt2-78"	"Same_Ambig_bus1.jpg"	0	1004
"KidSubjExpt2-78"	"Same_Ambig_car1.jpg"	0	1305
"KidSubjExpt2-78"	"Same_Ambig_cat1.jpg"	0	3033
"KidSubjExpt2-78"	"Same_Ambig_chair1.jpg"	0	3390
"KidSubjExpt2-78"	"Same_Ambig_dog1.jpg"	0	2286
"KidSubjExpt2-78"	"Same_Control_fish1.jpg"	1	1065
"KidSubjExpt2-78"	"Same_Control_flower1.jpg"	1	1054
"KidSubjExpt2-78"	"Same_Control_leaf1.jpg"	1	792
"KidSubjExpt2-78"	"Same_Control_penguin1.jpg"	1	974
"KidSubjExpt2-78"	"Same_Control_shoe1.jpg"	1	1718
"KidSubjExpt2-78"	"Same_Control_spoon1.jpg"	1	972
"KidSubjExpt2-78"	"Same_Control_toothbrush1.jpg"	1	1768
"KidSubjExpt2-78"	"Same_Control_tree1.jpg"	1	1426
"KidSubjExpt2-77"	"Same_Ambig_fish2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Ambig_flower2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Ambig_leaf2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Ambig_penguin2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Ambig_shoe2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Ambig_spoon2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Ambig_toothbrush2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Ambig_tree2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Control_bike2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Control_bird2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Control_book2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Control_bus2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Control_car2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Control_cat2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Control_chair2.jpg"	NA	NA
"KidSubjExpt2-77"	"Same_Control_dog2.jpg"	NA	NA
"KidSubjExpt2-76"	"Same_Ambig_fish2.jpg"	1	1668
"KidSubjExpt2-76"	"Same_Ambig_flower2.jpg"	1	1217
"KidSubjExpt2-76"	"Same_Ambig_leaf2.jpg"	1	1278
"KidSubjExpt2-76"	"Same_Ambig_penguin2.jpg"	1	1689
"KidSubjExpt2-76"	"Same_Ambig_shoe2.jpg"	1	920
"KidSubjExpt2-76"	"Same_Ambig_spoon2.jpg"	1	1499
"KidSubjExpt2-76"	"Same_Ambig_toothbrush2.jpg"	1	1281
"KidSubjExpt2-76"	"Same_Ambig_tree2.jpg"	0	2064
"KidSubjExpt2-76"	"Same_Control_bike2.jpg"	1	1291
"KidSubjExpt2-76"	"Same_Control_bird2.jpg"	1	4507
"KidSubjExpt2-76"	"Same_Control_book2.jpg"	1	1313
"KidSubjExpt2-76"	"Same_Control_bus2.jpg"	1	1983
"KidSubjExpt2-76"	"Same_Control_car2.jpg"	1	1236
"KidSubjExpt2-76"	"Same_Control_cat2.jpg"	1	1726
"KidSubjExpt2-76"	"Same_Control_chair2.jpg"	1	1048
"KidSubjExpt2-76"	"Same_Control_dog2.jpg"	1	2044
"KidSubjExpt2-75"	"Same_Ambig_bike1.jpg"	1	1270
"KidSubjExpt2-75"	"Same_Ambig_bird1.jpg"	0	2163
"KidSubjExpt2-75"	"Same_Ambig_book1.jpg"	0	2370
"KidSubjExpt2-75"	"Same_Ambig_bus1.jpg"	1	1234
"KidSubjExpt2-75"	"Same_Ambig_car1.jpg"	1	1166
"KidSubjExpt2-75"	"Same_Ambig_cat1.jpg"	0	2054
"KidSubjExpt2-75"	"Same_Ambig_chair1.jpg"	0	1780
"KidSubjExpt2-75"	"Same_Ambig_dog1.jpg"	0	1803
"KidSubjExpt2-75"	"Same_Control_fish1.jpg"	1	1447
"KidSubjExpt2-75"	"Same_Control_flower1.jpg"	1	1227
"KidSubjExpt2-75"	"Same_Control_leaf1.jpg"	1	1284
"KidSubjExpt2-75"	"Same_Control_penguin1.jpg"	1	1188
"KidSubjExpt2-75"	"Same_Control_shoe1.jpg"	1	1433
"KidSubjExpt2-75"	"Same_Control_spoon1.jpg"	1	1512
"KidSubjExpt2-75"	"Same_Control_toothbrush1.jpg"	1	1698
"KidSubjExpt2-75"	"Same_Control_tree1.jpg"	1	1276
