RECORDING_SESSION_LABEL	CURRENT_FIX_INDEX	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_NEAREST_INTEREST_AREA	CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL	CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_LABEL	IP_LABEL	IP_END_TIME	IP_START_TIME	CURRENT_FIX_START	cond	targname	trialnum	type	TRIAL_START_TIME
si34edf	1	[ 1]	1	Pre_Targ 	2.12	94	96	Fixation: 4ms	Pre	6554944	6550727	4	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	2	[ ]	1	Pre_Targ 	5.03	160	278	Fixation: 120ms	Pre	6554944	6550727	120	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	3	[ ]	2	Pre_D1 	8.94	112	412	Fixation: 302ms	Pre	6554944	6550727	302	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	4	[ 3]	3	Pre_D2 	1.55	454	900	Fixation: 448ms	Pre	6554944	6550727	448	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	5	[ 2]	2	Pre_D1 	1.60	164	1112	Fixation: 950ms	Pre	6554944	6550727	950	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	6	[ 2]	2	Pre_D1 	0.20	218	1348	Fixation: 1132ms	Pre	6554944	6550727	1132	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	7	[ 1]	1	Pre_Targ 	1.66	204	1598	Fixation: 1396ms	Pre	6554944	6550727	1396	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	8	[ ]	2	Pre_D1 	6.71	128	1776	Fixation: 1650ms	Pre	6554944	6550727	1650	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	9	[ 3]	3	Pre_D2 	0.52	364	2182	Fixation: 1820ms	Pre	6554944	6550727	1820	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	10	[ 2]	2	Pre_D1 	1.30	752	2992	Fixation: 2242ms	Pre	6554944	6550727	2242	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	11	[ 2]	2	Pre_D1 	0.77	334	3340	Fixation: 3008ms	Pre	6554944	6550727	3008	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	12	[ 1]	1	Pre_Targ 	0.97	424	3810	Fixation: 3388ms	Pre	6554944	6550727	3388	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	13	[ 1]	1	Pre_Targ 	3.99	406	4240	Fixation: 3836ms	Pre	6554944	6550727	3836	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	14	[ 1]	1	Pre_Targ 	1.02	190	4452	Fixation: 4264ms	Pre	6554944	6550727	4264	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	1	[ 3]	3	Pre_D2 	1.90	342	830	Fixation: 490ms	Pre	6570379	6566162	490	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	2	[ 3]	3	Pre_D2 	0.47	236	1080	Fixation: 846ms	Pre	6570379	6566162	846	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	3	[ 1]	1	Pre_Targ 	2.67	294	1428	Fixation: 1136ms	Pre	6570379	6566162	1136	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	4	[ 3]	3	Pre_D2 	0.80	248	1724	Fixation: 1478ms	Pre	6570379	6566162	1478	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	5	[ 3]	3	Pre_D2 	0.46	174	1914	Fixation: 1742ms	Pre	6570379	6566162	1742	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	6	[ 2]	2	Pre_D1 	5.60	130	2082	Fixation: 1954ms	Pre	6570379	6566162	1954	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	7	[ 2]	2	Pre_D1 	2.31	204	2308	Fixation: 2106ms	Pre	6570379	6566162	2106	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	8	[ 3]	3	Pre_D2 	0.19	230	2580	Fixation: 2352ms	Pre	6570379	6566162	2352	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	9	[ 3]	3	Pre_D2 	0.55	552	3142	Fixation: 2592ms	Pre	6570379	6566162	2592	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	10	[ 3]	3	Pre_D2 	0.38	392	3548	Fixation: 3158ms	Pre	6570379	6566162	3158	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	11	[ 3]	3	Pre_D2 	1.94	900	4468	Fixation: 3570ms	Pre	6570379	6566162	3570	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	1	[ ]	1	Pre_Targ 	18.39	442	444	Fixation: 4ms	Pre	6583402	6579185	4	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	2	[ 1]	1	Pre_Targ 	0.53	136	642	Fixation: 508ms	Pre	6583402	6579185	508	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	3	[ 1]	1	Pre_Targ 	1.78	286	950	Fixation: 666ms	Pre	6583402	6579185	666	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	4	[ 3]	3	Pre_D2 	1.87	170	1172	Fixation: 1004ms	Pre	6583402	6579185	1004	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	5	[ 3]	3	Pre_D2 	3.56	160	1350	Fixation: 1192ms	Pre	6583402	6579185	1192	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	6	[ 2]	2	Pre_D1 	2.18	256	1660	Fixation: 1406ms	Pre	6583402	6579185	1406	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	7	[ 2]	2	Pre_D1 	0.90	674	2354	Fixation: 1682ms	Pre	6583402	6579185	1682	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	8	[ 2]	2	Pre_D1 	2.61	208	2582	Fixation: 2376ms	Pre	6583402	6579185	2376	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	9	[ 2]	2	Pre_D1 	1.00	132	2736	Fixation: 2606ms	Pre	6583402	6579185	2606	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	10	[ 3]	3	Pre_D2 	2.65	246	3034	Fixation: 2790ms	Pre	6583402	6579185	2790	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	11	[ 3]	3	Pre_D2 	3.25	188	3244	Fixation: 3058ms	Pre	6583402	6579185	3058	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	12	[ 1]	1	Pre_Targ 	0.35	1242	4530	Fixation: 3290ms	Pre	6583402	6579185	3290	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
