RECORDING_SESSION_LABEL	CURRENT_FIX_INDEX	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_NEAREST_INTEREST_AREA	CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL	CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_LABEL	IP_LABEL	IP_END_TIME	IP_START_TIME	CURRENT_FIX_START	cond	targname	trialnum	type	TRIAL_START_TIME
si34edf	1	[ 1]	1	Pre_Targ 	4.02	316	11690	Fixation: 11376ms	Reward	6563276	6562110	11376	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	2	[ 1]	1	Pre_Targ 	1.45	520	12230	Fixation: 11712ms	Reward	6563276	6562110	11712	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	3	[ 1]	1	Pre_Targ 	4.27	342	12600	Fixation: 12260ms	Reward	6563276	6562110	12260	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	1	[ 3]	3	Pre_D2 	0.26	334	8568	Fixation: 8236ms	Reward	6575632	6574467	8236	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	2	[ ]	1	Pre_Targ 	6.68	136	8750	Fixation: 8616ms	Reward	6575632	6574467	8616	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	3	[ 1]	1	Pre_Targ 	0.72	782	9562	Fixation: 8782ms	Reward	6575632	6574467	8782	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	1	[ 1]	1	Pre_Targ 	1.85	1574	6124	Fixation: 4552ms	Reward	6586069	6584903	4552	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	2	[ 1]	1	Pre_Targ 	1.10	832	6978	Fixation: 6148ms	Reward	6586069	6584903	6148	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	1	[ 1]	1	Pre_Targ 	2.32	142	9140	Fixation: 9000ms	Reward	6598439	6597273	9000	Ambig	chair1.jpg	Same_Ambig_chair1.jpg	Same	6589259
si34edf	1	[ 1]	1	Pre_Targ 	2.01	2022	8540	Fixation: 6520ms	Reward	6609502	6608337	6520	Control	penguin1.jpg	Same_Control_penguin1.jpg	Same	6601001
si34edf	1	[ ]	1	Pre_Targ 	6.86	124	13166	Fixation: 13044ms	Reward	6626417	6625252	13044	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	2	[ 1]	1	Pre_Targ 	1.22	914	14106	Fixation: 13194ms	Reward	6626417	6625252	13194	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	1	[ 1]	1	Pre_Targ 	1.81	510	7336	Fixation: 6828ms	Reward	6636855	6635689	6828	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	6628719
