RECORDING_SESSION_LABEL	CURRENT_FIX_INDEX	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_NEAREST_INTEREST_AREA	CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL	CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_LABEL	IP_LABEL	IP_END_TIME	IP_START_TIME	CURRENT_FIX_START	cond	targname	trialnum	type	TRIAL_START_TIME
si34edf	1	[ 1]	1	Pre_Targ 	1.02	190	4452	Fixation: 4264ms	Target	6562075	6554979	4264	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	2	[ 1]	1	Pre_Targ 	3.62	508	4984	Fixation: 4478ms	Target	6562075	6554979	4478	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	3	[ 2]	2	Pre_D1 	1.29	262	5290	Fixation: 5030ms	Target	6562075	6554979	5030	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	4	[ 2]	2	Pre_D1 	0.89	154	5460	Fixation: 5308ms	Target	6562075	6554979	5308	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	5	[ 1]	1	Pre_Targ 	2.92	286	5788	Fixation: 5504ms	Target	6562075	6554979	5504	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	6	[ 1]	1	Pre_Targ 	3.91	210	6012	Fixation: 5804ms	Target	6562075	6554979	5804	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	7	[ ]	2	Pre_D1 	7.96	72	6118	Fixation: 6048ms	Target	6562075	6554979	6048	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	8	[ 3]	3	Pre_D2 	1.93	176	6326	Fixation: 6152ms	Target	6562075	6554979	6152	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	9	[ 2]	2	Pre_D1 	0.70	232	6600	Fixation: 6370ms	Target	6562075	6554979	6370	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	10	[ 2]	2	Pre_D1 	0.71	416	7032	Fixation: 6618ms	Target	6562075	6554979	6618	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	11	[ 2]	2	Pre_D1 	1.27	288	7336	Fixation: 7050ms	Target	6562075	6554979	7050	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	12	[ 1]	1	Pre_Targ 	3.12	236	7614	Fixation: 7380ms	Target	6562075	6554979	7380	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	13	[ 2]	2	Pre_D1 	1.17	100	11154	Fixation: 11056ms	Target	6562075	6554979	11056	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	14	[ ]	1	Pre_Targ 	6.21	166	11356	Fixation: 11192ms	Target	6562075	6554979	11192	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	15	[ 1]	1	Pre_Targ 	4.02	316	11690	Fixation: 11376ms	Target	6562075	6554979	11376	Control	leaf1.jpg	Same_Control_leaf1.jpg	Same	6550675
si34edf	1	[ 3]	3	Pre_D2 	1.94	900	4468	Fixation: 3570ms	Target	6574432	6570414	3570	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	2	[ 1]	1	Pre_Targ 	1.50	382	4900	Fixation: 4520ms	Target	6574432	6570414	4520	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	3	[ 1]	1	Pre_Targ 	1.87	220	5136	Fixation: 4918ms	Target	6574432	6570414	4918	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	4	[ 1]	1	Pre_Targ 	1.11	152	5306	Fixation: 5156ms	Target	6574432	6570414	5156	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	5	[ 2]	2	Pre_D1 	1.02	1210	6562	Fixation: 5354ms	Target	6574432	6570414	5354	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	6	[ 3]	3	Pre_D2 	1.22	218	6920	Fixation: 6704ms	Target	6574432	6570414	6704	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	7	[ 3]	3	Pre_D2 	0.24	176	7110	Fixation: 6936ms	Target	6574432	6570414	6936	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	8	[ ]	3	Pre_D2 	16.89	810	7968	Fixation: 7160ms	Target	6574432	6570414	7160	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	9	[ 3]	3	Pre_D2 	1.81	194	8220	Fixation: 8028ms	Target	6574432	6570414	8028	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	10	[ 3]	3	Pre_D2 	0.26	334	8568	Fixation: 8236ms	Target	6574432	6570414	8236	Ambig	bike1.jpg	Same_Ambig_bike1.jpg	Same	6566109
si34edf	1	[ 1]	1	Pre_Targ 	0.35	1242	4530	Fixation: 3290ms	Target	6584868	6583437	3290	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	2	[ 1]	1	Pre_Targ 	1.85	1574	6124	Fixation: 4552ms	Target	6584868	6583437	4552	Control	tree1.jpg	Same_Control_tree1.jpg	Same	6579131
si34edf	1	[ ]	1	Pre_Targ 	8.85	162	4378	Fixation: 4218ms	Target	6597238	6593568	4218	Ambig	chair1.jpg	Same_Ambig_chair1.jpg	Same	6589259
si34edf	2	[ 1]	1	Pre_Targ 	0.54	146	4562	Fixation: 4418ms	Target	6597238	6593568	4418	Ambig	chair1.jpg	Same_Ambig_chair1.jpg	Same	6589259
si34edf	3	[ 1]	1	Pre_Targ 	3.46	328	4912	Fixation: 4586ms	Target	6597238	6593568	4586	Ambig	chair1.jpg	Same_Ambig_chair1.jpg	Same	6589259
si34edf	4	[ 1]	1	Pre_Targ 	0.95	138	5070	Fixation: 4934ms	Target	6597238	6593568	4934	Ambig	chair1.jpg	Same_Ambig_chair1.jpg	Same	6589259
si34edf	5	[ 2]	2	Pre_D1 	2.62	154	5268	Fixation: 5116ms	Target	6597238	6593568	5116	Ambig	chair1.jpg	Same_Ambig_chair1.jpg	Same	6589259
si34edf	6	[ 2]	2	Pre_D1 	1.35	428	5714	Fixation: 5288ms	Target	6597238	6593568	5288	Ambig	chair1.jpg	Same_Ambig_chair1.jpg	Same	6589259
si34edf	1	[ 1]	1	Pre_Targ 	1.65	410	4532	Fixation: 4124ms	Target	6608302	6605311	4124	Control	penguin1.jpg	Same_Control_penguin1.jpg	Same	6601001
si34edf	2	[ 1]	1	Pre_Targ 	3.89	140	4692	Fixation: 4554ms	Target	6608302	6605311	4554	Control	penguin1.jpg	Same_Control_penguin1.jpg	Same	6601001
si34edf	3	[ 3]	3	Pre_D2 	3.79	200	4934	Fixation: 4736ms	Target	6608302	6605311	4736	Control	penguin1.jpg	Same_Control_penguin1.jpg	Same	6601001
si34edf	4	[ 2]	2	Pre_D1 	2.50	780	5770	Fixation: 4992ms	Target	6608302	6605311	4992	Control	penguin1.jpg	Same_Control_penguin1.jpg	Same	6601001
si34edf	5	[ 1]	1	Pre_Targ 	3.90	234	6044	Fixation: 5812ms	Target	6608302	6605311	5812	Control	penguin1.jpg	Same_Control_penguin1.jpg	Same	6601001
si34edf	6	[ 3]	3	Pre_D2 	4.75	146	6220	Fixation: 6076ms	Target	6608302	6605311	6076	Control	penguin1.jpg	Same_Control_penguin1.jpg	Same	6601001
si34edf	7	[ 1]	1	Pre_Targ 	2.10	254	6506	Fixation: 6254ms	Target	6608302	6605311	6254	Control	penguin1.jpg	Same_Control_penguin1.jpg	Same	6601001
si34edf	8	[ 1]	1	Pre_Targ 	2.01	2022	8540	Fixation: 6520ms	Target	6608302	6605311	6520	Control	penguin1.jpg	Same_Control_penguin1.jpg	Same	6601001
si34edf	1	[ 1]	1	Pre_Targ 	2.33	234	4350	Fixation: 4118ms	Target	6625217	6616574	4118	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	2	[ ]	1	Pre_Targ 	5.43	74	4532	Fixation: 4460ms	Target	6625217	6616574	4460	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	3	[ 1]	1	Pre_Targ 	1.69	210	4768	Fixation: 4560ms	Target	6625217	6616574	4560	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	4	[ 1]	1	Pre_Targ 	2.27	182	4962	Fixation: 4782ms	Target	6625217	6616574	4782	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	5	[ 2]	2	Pre_D1 	0.14	304	5388	Fixation: 5086ms	Target	6625217	6616574	5086	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	6	[ 1]	1	Pre_Targ 	0.82	176	5710	Fixation: 5536ms	Target	6625217	6616574	5536	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	7	[ ]	2	Pre_D1 	15.60	412	6374	Fixation: 5964ms	Target	6625217	6616574	5964	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	8	[ 2]	2	Pre_D1 	0.39	268	6690	Fixation: 6424ms	Target	6625217	6616574	6424	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	9	[ 2]	2	Pre_D1 	0.49	424	7126	Fixation: 6704ms	Target	6625217	6616574	6704	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	10	[ 1]	1	Pre_Targ 	0.70	244	7426	Fixation: 7184ms	Target	6625217	6616574	7184	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	11	[ 1]	1	Pre_Targ 	1.92	942	8384	Fixation: 7444ms	Target	6625217	6616574	7444	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	12	[ 2]	2	Pre_D1 	3.18	190	8622	Fixation: 8434ms	Target	6625217	6616574	8434	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	13	[ 2]	2	Pre_D1 	0.92	264	8908	Fixation: 8646ms	Target	6625217	6616574	8646	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	14	[ 2]	2	Pre_D1 	0.54	616	11306	Fixation: 10692ms	Target	6625217	6616574	10692	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	15	[ ]	1	Pre_Targ 	5.76	88	11436	Fixation: 11350ms	Target	6625217	6616574	11350	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	16	[ 1]	1	Pre_Targ 	0.88	252	11716	Fixation: 11466ms	Target	6625217	6616574	11466	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	17	[ 1]	1	Pre_Targ 	1.05	144	11874	Fixation: 11732ms	Target	6625217	6616574	11732	Ambig	cat1.jpg	Same_Ambig_cat1.jpg	Same	6612265
si34edf	1	[ 2]	2	Pre_D1 	0.97	268	4482	Fixation: 4216ms	Target	6635654	6633022	4216	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	6628719
si34edf	2	[ 1]	1	Pre_Targ 	2.18	298	4818	Fixation: 4522ms	Target	6635654	6633022	4522	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	6628719
si34edf	3	[ 1]	1	Pre_Targ 	1.59	94	4934	Fixation: 4842ms	Target	6635654	6633022	4842	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	6628719
si34edf	4	[ 2]	2	Pre_D1 	1.99	268	5250	Fixation: 4984ms	Target	6635654	6633022	4984	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	6628719
si34edf	5	[ 3]	3	Pre_D2 	1.45	600	5904	Fixation: 5306ms	Target	6635654	6633022	5306	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	6628719
si34edf	6	[ 1]	1	Pre_Targ 	4.00	860	6802	Fixation: 5944ms	Target	6635654	6633022	5944	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	6628719
si34edf	7	[ 1]	1	Pre_Targ 	1.81	510	7336	Fixation: 6828ms	Target	6635654	6633022	6828	Control	toothbrush1.jpg	Same_Control_toothbrush1.jpg	Same	6628719
si34edf	1	[ 3]	3	Pre_D2 	1.28	804	4452	Fixation: 3650ms	Target	6651756	6643660	3650	Ambig	car1.jpg	Same_Ambig_car1.jpg	Same	6639353
si34edf	2	[ 1]	1	Pre_Targ 	2.53	348	4852	Fixation: 4506ms	Target	6651756	6643660	4506	Ambig	car1.jpg	Same_Ambig_car1.jpg	Same	6639353
si34edf	3	[ 2]	2	Pre_D1 	4.38	152	5060	Fixation: 4910ms	Target	6651756	6643660	4910	Ambig	car1.jpg	Same_Ambig_car1.jpg	Same	6639353
si34edf	4	[ 2]	2	Pre_D1 	2.90	276	5352	Fixation: 5078ms	Target	6651756	6643660	5078	Ambig	car1.jpg	Same_Ambig_car1.jpg	Same	6639353
si34edf	5	[ 2]	2	Pre_D1 	1.41	350	5720	Fixation: 5372ms	Target	6651756	6643660	5372	Ambig	car1.jpg	Same_Ambig_car1.jpg	Same	6639353
si34edf	6	[ 1]	1	Pre_Targ 	0.82	384	6158	Fixation: 5776ms	Target	6651756	6643660	5776	Ambig	car1.jpg	Same_Ambig_car1.jpg	Same	6639353
si34edf	7	[ 1]	1	Pre_Targ 	0.94	452	6620	Fixation: 6170ms	Target	6651756	6643660	6170	Ambig	car1.jpg	Same_Ambig_car1.jpg	Same	6639353
si34edf	8	[ 1]	1	Pre_Targ 	1.67	424	7062	Fixation: 6640ms	Target	6651756	6643660	6640	Ambig	car1.jpg	Same_Ambig_car1.jpg	Same	6639353
si34edf	9	[ 3]	3	Pre_D2 	0.72	190	7306	Fixation: 7118ms	Target	6651756	6643660	7118	Ambig	car1.jpg	Same_Ambig_car1.jpg	Same	6639353
