RECORDING_SESSION_LABEL	DATA_FILE	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
si34edf	si34edf.edf	RIGHT	396.00	1318	0.3292	0.3571	5	Pre_Targ 	1	.	3	4004	14	Same_Control_leaf1.jpg	(477, 554)	leaf1.jpg	Pre	6554944	6550727	Same	Control
si34edf	si34edf.edf	RIGHT	367.50	1468	0.3666	0.2857	4	Pre_D1 	2	.	2	4004	14	Same_Control_leaf1.jpg	(477, 554)	leaf1.jpg	Pre	6554944	6550727	Same	Control
si34edf	si34edf.edf	RIGHT	337.50	818	0.2043	0.1429	2	Pre_D2 	3	.	2	4004	14	Same_Control_leaf1.jpg	(477, 554)	leaf1.jpg	Pre	6554944	6550727	Same	Control
si34edf	si34edf.edf	RIGHT	285.00	294	0.0794	0.0909	1	Pre_Targ 	1	.	1	3702	11	Same_Ambig_bike1.jpg	(147, 90)	bike1.jpg	Pre	6570379	6566162	Same	Ambig
si34edf	si34edf.edf	RIGHT	272.00	334	0.0902	0.1818	2	Pre_D1 	2	.	1	3702	11	Same_Ambig_bike1.jpg	(147, 90)	bike1.jpg	Pre	6570379	6566162	Same	Ambig
si34edf	si34edf.edf	RIGHT	327.25	3074	0.8304	0.7273	8	Pre_D2 	3	.	3	3702	11	Same_Ambig_bike1.jpg	(147, 90)	bike1.jpg	Pre	6570379	6566162	Same	Ambig
si34edf	si34edf.edf	RIGHT	355.67	1664	0.4019	0.2500	3	Pre_Targ 	1	.	2	4140	12	Same_Control_tree1.jpg	(477, 554)	tree1.jpg	Pre	6583402	6579185	Same	Control
si34edf	si34edf.edf	RIGHT	261.00	1270	0.3068	0.3333	4	Pre_D1 	2	.	1	4140	12	Same_Control_tree1.jpg	(477, 554)	tree1.jpg	Pre	6583402	6579185	Same	Control
si34edf	si34edf.edf	RIGHT	284.50	764	0.1845	0.3333	4	Pre_D2 	3	.	2	4140	12	Same_Control_tree1.jpg	(477, 554)	tree1.jpg	Pre	6583402	6579185	Same	Control
si34edf	si34edf.edf	RIGHT	246.50	992	0.2730	0.1333	2	Pre_Targ 	1	.	1	3634	15	Same_Ambig_chair1.jpg	(753, 90)	chair1.jpg	Pre	6593533	6589315	Same	Ambig
si34edf	si34edf.edf	RIGHT	229.00	294	0.0809	0.1333	2	Pre_D1 	2	.	1	3634	15	Same_Ambig_chair1.jpg	(753, 90)	chair1.jpg	Pre	6593533	6589315	Same	Ambig
si34edf	si34edf.edf	RIGHT	330.12	1500	0.4128	0.5333	8	Pre_D2 	3	.	3	3634	15	Same_Ambig_chair1.jpg	(753, 90)	chair1.jpg	Pre	6593533	6589315	Same	Ambig
si34edf	si34edf.edf	RIGHT	399.67	1516	0.3721	0.4286	6	Pre_Targ 	1	.	3	4074	14	Same_Control_penguin1.jpg	(477, 554)	penguin1.jpg	Pre	6605276	6601058	Same	Control
si34edf	si34edf.edf	RIGHT	323.25	1410	0.3461	0.2857	4	Pre_D1 	2	.	2	4074	14	Same_Control_penguin1.jpg	(477, 554)	penguin1.jpg	Pre	6605276	6601058	Same	Control
si34edf	si34edf.edf	RIGHT	351.00	900	0.2209	0.1429	2	Pre_D2 	3	.	2	4074	14	Same_Control_penguin1.jpg	(477, 554)	penguin1.jpg	Pre	6605276	6601058	Same	Control
si34edf	si34edf.edf	RIGHT	295.33	1768	0.4881	0.5455	6	Pre_Targ 	1	.	4	3622	11	Same_Ambig_cat1.jpg	(753, 90)	cat1.jpg	Pre	6616539	6612322	Same	Ambig
si34edf	si34edf.edf	RIGHT	391.33	1226	0.3385	0.2727	3	Pre_D1 	2	.	2	3622	11	Same_Ambig_cat1.jpg	(753, 90)	cat1.jpg	Pre	6616539	6612322	Same	Ambig
si34edf	si34edf.edf	RIGHT	254.00	464	0.1281	0.0909	1	Pre_D2 	3	.	1	3622	11	Same_Ambig_cat1.jpg	(753, 90)	cat1.jpg	Pre	6616539	6612322	Same	Ambig
si34edf	si34edf.edf	RIGHT	298.50	1012	0.2785	0.2000	2	Pre_Targ 	1	.	1	3634	10	Same_Control_toothbrush1.jpg	(477, 554)	toothbrush1.jpg	Pre	6632987	6628771	Same	Control
si34edf	si34edf.edf	RIGHT	316.00	1254	0.3451	0.3000	3	Pre_D1 	2	.	2	3634	10	Same_Control_toothbrush1.jpg	(477, 554)	toothbrush1.jpg	Pre	6632987	6628771	Same	Control
si34edf	si34edf.edf	RIGHT	269.00	700	0.1926	0.2000	2	Pre_D2 	3	.	1	3634	10	Same_Control_toothbrush1.jpg	(477, 554)	toothbrush1.jpg	Pre	6632987	6628771	Same	Control
si34edf	si34edf.edf	RIGHT	273.00	656	0.1731	0.2667	4	Pre_Targ 	1	.	3	3790	15	Same_Ambig_car1.jpg	(147, 90)	car1.jpg	Pre	6643625	6639408	Same	Ambig
si34edf	si34edf.edf	RIGHT	332.50	820	0.2164	0.2667	4	Pre_D1 	2	.	4	3790	15	Same_Ambig_car1.jpg	(147, 90)	car1.jpg	Pre	6643625	6639408	Same	Ambig
si34edf	si34edf.edf	RIGHT	281.00	2178	0.5747	0.4000	6	Pre_D2 	3	.	3	3790	15	Same_Ambig_car1.jpg	(147, 90)	car1.jpg	Pre	6643625	6639408	Same	Ambig
si34edf	si34edf.edf	RIGHT	298.00	332	0.0765	0.2000	2	Pre_Targ 	1	.	1	4340	10	Same_Control_spoon1.jpg	(147, 90)	spoon1.jpg	Pre	6659500	6655283	Same	Control
si34edf	si34edf.edf	RIGHT	272.67	2302	0.5304	0.3000	3	Pre_D1 	2	.	2	4340	10	Same_Control_spoon1.jpg	(147, 90)	spoon1.jpg	Pre	6659500	6655283	Same	Control
si34edf	si34edf.edf	RIGHT	346.00	1178	0.2714	0.3000	3	Pre_D2 	3	.	2	4340	10	Same_Control_spoon1.jpg	(147, 90)	spoon1.jpg	Pre	6659500	6655283	Same	Control
si34edf	si34edf.edf	RIGHT	301.50	1878	0.4750	0.4000	4	Pre_Targ 	1	.	2	3954	10	Same_Ambig_book1.jpg	(147, 90)	book1.jpg	Pre	6670804	6666587	Same	Ambig
si34edf	si34edf.edf	RIGHT	332.50	1166	0.2949	0.2000	2	Pre_D1 	2	.	2	3954	10	Same_Ambig_book1.jpg	(147, 90)	book1.jpg	Pre	6670804	6666587	Same	Ambig
si34edf	si34edf.edf	RIGHT	313.50	560	0.1416	0.2000	2	Pre_D2 	3	.	2	3954	10	Same_Ambig_book1.jpg	(147, 90)	book1.jpg	Pre	6670804	6666587	Same	Ambig
si34edf	si34edf.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_Targ 	1	.	0	832	2	Same_Ambig_bird1.jpg	(477, 554)	bird1.jpg	Pre	6682480	6678263	Same	Ambig
si34edf	si34edf.edf	RIGHT	245.00	622	0.7476	0.5000	1	Pre_D1 	2	.	1	832	2	Same_Ambig_bird1.jpg	(477, 554)	bird1.jpg	Pre	6682480	6678263	Same	Ambig
si34edf	si34edf.edf	RIGHT	217.00	210	0.2524	0.5000	1	Pre_D2 	3	.	1	832	2	Same_Ambig_bird1.jpg	(477, 554)	bird1.jpg	Pre	6682480	6678263	Same	Ambig
si34edf	si34edf.edf	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Control_fish1.jpg	(477, 554)	fish1.jpg	Pre	6697543	6693326	Same	Control
si34edf	si34edf.edf	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Control_fish1.jpg	(477, 554)	fish1.jpg	Pre	6697543	6693326	Same	Control
si34edf	si34edf.edf	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Control_fish1.jpg	(477, 554)	fish1.jpg	Pre	6697543	6693326	Same	Control
si34edf	si34edf.edf	RIGHT	313.50	666	0.2021	0.1667	2	Pre_Targ 	1	.	2	3296	12	Same_Control_shoe1.jpg	(147, 90)	shoe1.jpg	Pre	6707713	6703496	Same	Control
si34edf	si34edf.edf	RIGHT	302.00	1652	0.5012	0.5833	7	Pre_D1 	2	.	2	3296	12	Same_Control_shoe1.jpg	(147, 90)	shoe1.jpg	Pre	6707713	6703496	Same	Control
si34edf	si34edf.edf	RIGHT	335.50	734	0.2227	0.1667	2	Pre_D2 	3	.	2	3296	12	Same_Control_shoe1.jpg	(147, 90)	shoe1.jpg	Pre	6707713	6703496	Same	Control
si34edf	si34edf.edf	RIGHT	391.50	2030	0.5571	0.4000	4	Pre_Targ 	1	.	2	3644	10	Same_Ambig_bus1.jpg	(477, 554)	bus1.jpg	Pre	6719429	6715212	Same	Ambig
