RECORDING_SESSION_LABEL	DATA_FILE	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
si34edf	si34edf.edf	RIGHT	349.50	1746	0.4834	0.4000	6	Pre_Targ 	1	.	4	3612	15	Same_Control_leaf1.jpg	(477, 554)	leaf1.jpg	Target	6562075	6554979	Same	Control
si34edf	si34edf.edf	RIGHT	309.33	1452	0.4020	0.4000	6	Pre_D1 	2	.	3	3612	15	Same_Control_leaf1.jpg	(477, 554)	leaf1.jpg	Target	6562075	6554979	Same	Control
si34edf	si34edf.edf	RIGHT	326.00	176	0.0487	0.0667	1	Pre_D2 	3	.	1	3612	15	Same_Control_leaf1.jpg	(477, 554)	leaf1.jpg	Target	6562075	6554979	Same	Control
si34edf	si34edf.edf	RIGHT	330.00	754	0.1641	0.3000	3	Pre_Targ 	1	.	1	4596	10	Same_Ambig_bike1.jpg	(147, 90)	bike1.jpg	Target	6574432	6570414	Same	Ambig
si34edf	si34edf.edf	RIGHT	348.00	1210	0.2633	0.1000	1	Pre_D1 	2	.	1	4596	10	Same_Ambig_bike1.jpg	(147, 90)	bike1.jpg	Target	6574432	6570414	Same	Ambig
si34edf	si34edf.edf	RIGHT	371.60	1822	0.3964	0.5000	5	Pre_D2 	3	.	3	4596	10	Same_Ambig_bike1.jpg	(147, 90)	bike1.jpg	Target	6574432	6570414	Same	Ambig
si34edf	si34edf.edf	RIGHT	357.00	2816	1.0000	1.0000	2	Pre_Targ 	1	.	1	2816	2	Same_Control_tree1.jpg	(477, 554)	tree1.jpg	Target	6584868	6583437	Same	Control
si34edf	si34edf.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D1 	2	.	0	2816	2	Same_Control_tree1.jpg	(477, 554)	tree1.jpg	Target	6584868	6583437	Same	Control
si34edf	si34edf.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	2816	2	Same_Control_tree1.jpg	(477, 554)	tree1.jpg	Target	6584868	6583437	Same	Control
si34edf	si34edf.edf	RIGHT	273.00	612	0.4513	0.5000	3	Pre_Targ 	1	.	1	1356	6	Same_Ambig_chair1.jpg	(753, 90)	chair1.jpg	Target	6597238	6593568	Same	Ambig
si34edf	si34edf.edf	RIGHT	346.50	582	0.4292	0.3333	2	Pre_D1 	2	.	1	1356	6	Same_Ambig_chair1.jpg	(753, 90)	chair1.jpg	Target	6597238	6593568	Same	Ambig
si34edf	si34edf.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_D2 	3	.	0	1356	6	Same_Ambig_chair1.jpg	(753, 90)	chair1.jpg	Target	6597238	6593568	Same	Ambig
si34edf	si34edf.edf	RIGHT	356.40	3060	0.7310	0.6250	5	Pre_Targ 	1	.	3	4186	8	Same_Control_penguin1.jpg	(477, 554)	penguin1.jpg	Target	6608302	6605311	Same	Control
si34edf	si34edf.edf	RIGHT	378.00	780	0.1863	0.1250	1	Pre_D1 	2	.	1	4186	8	Same_Control_penguin1.jpg	(477, 554)	penguin1.jpg	Target	6608302	6605311	Same	Control
si34edf	si34edf.edf	RIGHT	339.50	346	0.0827	0.2500	2	Pre_D2 	3	.	2	4186	8	Same_Control_penguin1.jpg	(477, 554)	penguin1.jpg	Target	6608302	6605311	Same	Control
