RECORDING_SESSION_LABEL	trialnum	cond	type	targname	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_INTEREST_AREA_LABEL	IP_LABEL	CURRENT_SAC_NEAREST_END_INTEREST_AREA_LABEL	CURRENT_SAC_NEAREST_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_TIME	IP_START_TIME
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_Targ 	.	Pre	Pre_Targ 	Pre_Targ 	118	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	.	.	Pre	Pre_D1 	Pre_Targ 	300	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	.	Pre_D2 	Pre	Pre_D2 	Pre_D1 	446	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_D2 	Pre_D1 	Pre	Pre_D1 	Pre_D2 	948	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	1130	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_D1 	Pre_Targ 	Pre	Pre_Targ 	Pre_D1 	1394	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_Targ 	.	Pre	Pre_D1 	Pre_Targ 	1648	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	.	Pre_D2 	Pre	Pre_D2 	Pre_D1 	1818	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_D2 	Pre_D1 	Pre	Pre_D1 	Pre_D2 	2240	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_D1 	Pre_D1 	Pre	Pre_D1 	Pre_D1 	3006	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_D1 	Pre_Targ 	Pre	Pre_Targ 	Pre_D1 	3386	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	3834	6550727
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_Targ 	Pre_Targ 	Pre	Pre_Targ 	Pre_Targ 	4262	6550727
KidSubjExpt3-1	Same_Ambig_bike1.jpg	Ambig	Same	bike1.jpg	.	Pre_D2 	Pre	Pre_D2 	.	488	6566162
KidSubjExpt3-1	Same_Ambig_bike1.jpg	Ambig	Same	bike1.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	844	6566162
KidSubjExpt3-1	Same_Ambig_bike1.jpg	Ambig	Same	bike1.jpg	Pre_D2 	Pre_Targ 	Pre	Pre_Targ 	Pre_D2 	1134	6566162
KidSubjExpt3-1	Same_Ambig_bike1.jpg	Ambig	Same	bike1.jpg	Pre_Targ 	Pre_D2 	Pre	Pre_D2 	Pre_Targ 	1476	6566162
KidSubjExpt3-1	Same_Ambig_bike1.jpg	Ambig	Same	bike1.jpg	Pre_D2 	Pre_D2 	Pre	Pre_D2 	Pre_D2 	1740	6566162
KidSubjExpt3-1	Same_Ambig_bike1.jpg	Ambig	Same	bike1.jpg	Pre_D2 	Pre_D1 	Pre	Pre_D1 	Pre_D2 	1952	6566162
