RECORDING_SESSION_LABEL	trialnum	cond	type	targname	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_INTEREST_AREA_LABEL	IP_LABEL	CURRENT_SAC_NEAREST_END_INTEREST_AREA_LABEL	CURRENT_SAC_NEAREST_START_INTEREST_AREA_LABEL	CURRENT_SAC_END_TIME	IP_START_TIME
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	11710	6562110
KidSubjExpt3-1	Same_Control_leaf1.jpg	Control	Same	leaf1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	12258	6562110
KidSubjExpt3-1	Same_Ambig_bike1.jpg	Ambig	Same	bike1.jpg	Pre_D2 	.	Reward	Pre_Targ 	Pre_D2 	8614	6574467
KidSubjExpt3-1	Same_Ambig_bike1.jpg	Ambig	Same	bike1.jpg	.	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	8780	6574467
KidSubjExpt3-1	Same_Control_tree1.jpg	Control	Same	tree1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	6146	6584903
KidSubjExpt3-1	Same_Ambig_chair1.jpg	Ambig	Same	chair1.jpg	Pre_Targ 	Pre_D2 	Reward	Pre_D2 	Pre_Targ 	9184	6597273
KidSubjExpt3-1	Same_Ambig_cat1.jpg	Ambig	Same	cat1.jpg	Pre_Targ 	.	Reward	Pre_Targ 	Pre_Targ 	13042	6625252
KidSubjExpt3-1	Same_Ambig_cat1.jpg	Ambig	Same	cat1.jpg	.	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	13192	6625252
KidSubjExpt3-1	Same_Ambig_cat1.jpg	Ambig	Same	cat1.jpg	Pre_Targ 	.	Reward	.	Pre_Targ 	14194	6625252
KidSubjExpt3-1	Same_Control_toothbrush1.jpg	Control	Same	toothbrush1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	7362	6635689
KidSubjExpt3-1	Same_Control_toothbrush1.jpg	Control	Same	toothbrush1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	7822	6635689
KidSubjExpt3-1	Same_Ambig_car1.jpg	Ambig	Same	car1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	12528	6651791
KidSubjExpt3-1	Same_Ambig_car1.jpg	Ambig	Same	car1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	12704	6651791
KidSubjExpt3-1	Same_Ambig_car1.jpg	Ambig	Same	car1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	12920	6651791
KidSubjExpt3-1	Same_Control_spoon1.jpg	Control	Same	spoon1.jpg	Pre_D2 	Pre_Targ 	Reward	Pre_Targ 	Pre_D2 	7776	6662881
KidSubjExpt3-1	Same_Control_spoon1.jpg	Control	Same	spoon1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	7966	6662881
KidSubjExpt3-1	Same_Control_spoon1.jpg	Control	Same	spoon1.jpg	Pre_Targ 	Pre_D1 	Reward	Pre_D1 	Pre_Targ 	8852	6662881
KidSubjExpt3-1	Same_Ambig_book1.jpg	Ambig	Same	book1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	8030	6674291
KidSubjExpt3-1	Same_Ambig_book1.jpg	Ambig	Same	book1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	8700	6674291
KidSubjExpt3-1	Same_Ambig_book1.jpg	Ambig	Same	book1.jpg	Pre_Targ 	.	Reward	Pre_Targ 	Pre_Targ 	8970	6674291
KidSubjExpt3-1	Same_Ambig_biKidSubjExpt3-11.jpg	Ambig	Same	bird1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	8546	6686661
KidSubjExpt3-1	Same_Ambig_biKidSubjExpt3-11.jpg	Ambig	Same	bird1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	9652	6686661
KidSubjExpt3-1	Same_Control_fish1.jpg	Control	Same	fish1.jpg	Pre_D2 	Pre_Targ 	Reward	Pre_Targ 	Pre_D2 	7150	6699950
KidSubjExpt3-1	Same_Control_fish1.jpg	Control	Same	fish1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	7456	6699950
KidSubjExpt3-1	Same_Control_shoe1.jpg	Control	Same	shoe1.jpg	Pre_D1 	Pre_Targ 	Reward	Pre_Targ 	Pre_D1 	8402	6711387
KidSubjExpt3-1	Same_Control_shoe1.jpg	Control	Same	shoe1.jpg	.	.	Reward	Pre_D2 	Pre_Targ 	8772	6711387
KidSubjExpt3-1	Same_Control_shoe1.jpg	Control	Same	shoe1.jpg	.	Pre_D2 	Reward	Pre_D2 	Pre_D2 	9018	6711387
KidSubjExpt3-1	Same_Ambig_bus1.jpg	Ambig	Same	bus1.jpg	Pre_D1 	.	Reward	Pre_Targ 	Pre_D1 	9642	6724677
KidSubjExpt3-1	Same_Ambig_bus1.jpg	Ambig	Same	bus1.jpg	.	.	Reward	Pre_Targ 	Pre_Targ 	9698	6724677
KidSubjExpt3-1	Same_Ambig_bus1.jpg	Ambig	Same	bus1.jpg	.	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	9834	6724677
KidSubjExpt3-1	Same_Ambig_bus1.jpg	Ambig	Same	bus1.jpg	Pre_Targ 	.	Reward	Pre_D1 	Pre_Targ 	10728	6724677
KidSubjExpt3-1	Same_Control_flower1.jpg	Control	Same	flower1.jpg	Pre_D1 	.	Reward	Pre_D1 	Pre_D1 	11022	6738459
KidSubjExpt3-1	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_D1 	Pre_Targ 	Reward	Pre_Targ 	Pre_D1 	10678	6753442
KidSubjExpt3-1	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	10864	6753442
KidSubjExpt3-1	Same_Ambig_dog1.jpg	Ambig	Same	dog1.jpg	Pre_Targ 	Pre_Targ 	Reward	Pre_Targ 	Pre_Targ 	11080	6753442
KidSubjExpt3-2	Same_Ambig_bus1.jpg	Ambig	Same	bus1.jpg	Pre_D2 	Pre_Targ 	Reward	Pre_Targ 	Pre_D2 	15672	3344739
KidSubjExpt3-2	Same_Ambig_bus1.jpg	Ambig	Same	bus1.jpg	Pre_Targ 	Pre_D1 	Reward	Pre_D1 	Pre_Targ 	16446	3344739
KidSubjExpt3-2	Same_Control_spoon1.jpg	Control	Same	spoon1.jpg	Pre_Targ 	Pre_D1 	Reward	Pre_D1 	Pre_Targ 	14724	3362653
KidSubjExpt3-2	Same_Control_spoon1.jpg	Control	Same	spoon1.jpg	Pre_D1 	Pre_D1 	Reward	Pre_D1 	Pre_D1 	14916	3362653
KidSubjExpt3-2	Same_Control_spoon1.jpg	Control	Same	spoon1.jpg	Pre_D1 	Pre_D1 	Reward	Pre_D1 	Pre_D1 	15514	3362653
