Subj	trialnum	Label	StartTime
KidSubjExpt3-1	Same_Ambig_bike1.jpg	1	1780
KidSubjExpt3-1	Same_Ambig_bird1.jpg	1	1678
KidSubjExpt3-1	Same_Ambig_book1.jpg	NA	NA
KidSubjExpt3-1	Same_Ambig_bus1.jpg	1	1826
KidSubjExpt3-1	Same_Ambig_car1.jpg	1	3914
KidSubjExpt3-1	Same_Ambig_cat1.jpg	1	680
KidSubjExpt3-1	Same_Ambig_chair1.jpg	1	1240
KidSubjExpt3-1	Same_Ambig_dog1.jpg	0	2500
KidSubjExpt3-1	Same_Control_fish1.jpg	0	1860
KidSubjExpt3-1	Same_Control_flower1.jpg	0	4000
KidSubjExpt3-1	Same_Control_leaf1.jpg	0	5698
KidSubjExpt3-1	Same_Control_penguin1.jpg	0	1617
KidSubjExpt3-1	Same_Control_shoe1.jpg	0	1640
KidSubjExpt3-1	Same_Control_spoon1.jpg	0	1832
KidSubjExpt3-1	Same_Control_toothbrush1.jpg	0	1244
KidSubjExpt3-1	Same_Control_tree1.jpg	0	233
KidSubjExpt3-10	Same_Ambig_bike2.jpg	1	4052
KidSubjExpt3-10	Same_Ambig_bird2.jpg	0	1295
KidSubjExpt3-10	Same_Ambig_book2.jpg	NA	NA
KidSubjExpt3-10	Same_Ambig_bus2.jpg	NA	NA
KidSubjExpt3-10	Same_Ambig_car2.jpg	NA	NA
KidSubjExpt3-10	Same_Ambig_cat2.jpg	NA	NA
KidSubjExpt3-10	Same_Ambig_chair2.jpg	NA	NA
KidSubjExpt3-10	Same_Ambig_dog2.jpg	NA	NA
KidSubjExpt3-10	Same_Control_fish2.jpg	NA	NA
KidSubjExpt3-10	Same_Control_flower2.jpg	NA	NA
KidSubjExpt3-10	Same_Control_leaf2.jpg	NA	NA
KidSubjExpt3-10	Same_Control_penguin2.jpg	NA	NA
KidSubjExpt3-10	Same_Control_shoe2.jpg	1	NA
KidSubjExpt3-10	Same_Control_spoon2.jpg	NA	NA
KidSubjExpt3-10	Same_Control_toothbrush2.jpg	NA	NA
KidSubjExpt3-10	Same_Control_tree2.jpg	NA	NA
KidSubjExpt3-11	Same_Ambig_bike2.jpg	1	605
KidSubjExpt3-11	Same_Ambig_bird2.jpg	1	700
KidSubjExpt3-11	Same_Ambig_book2.jpg	1	796
KidSubjExpt3-11	Same_Ambig_bus2.jpg	1	500
KidSubjExpt3-11	Same_Ambig_car2.jpg	1	1563
KidSubjExpt3-11	Same_Ambig_cat2.jpg	1	661
KidSubjExpt3-11	Same_Ambig_chair2.jpg	1	1201
KidSubjExpt3-11	Same_Ambig_dog2.jpg	1	815
KidSubjExpt3-11	Same_Control_fish2.jpg	0	969
KidSubjExpt3-11	Same_Control_flower2.jpg	0	1410
KidSubjExpt3-11	Same_Control_leaf2.jpg	0	142
KidSubjExpt3-11	Same_Control_penguin2.jpg	0	1579
KidSubjExpt3-11	Same_Control_shoe2.jpg	0	263
KidSubjExpt3-11	Same_Control_spoon2.jpg	NA	NA
KidSubjExpt3-11	Same_Control_toothbrush2.jpg	0	678
KidSubjExpt3-11	Same_Control_tree2.jpg	NA	NA
