condition,List,participant,phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space
ambig,B,P22,elmo,1,B3,clock2,clock1,cake,1,1,0,1,0,0,0,0,0,0,0,0,0,0
control,B,P22,elmo,2,B15,chair2,dog1,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P22,elmo,3,B1,fish2,fish1,playdoh,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ambig,B,P22,elmo,4,B4,cup2,cup1,dress,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ambig,B,P22,elmo,5,B5,shoe2,shoe1,paintbrush,1,1,1,0,0,0,0,0,0,0,0,0,0,0
control,B,P22,elmo,6,B9,bike2,bird1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P22,elmo,7,B16,dog2,bike1,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P22,elmo,8,B7,toothbrush2,toothbrush1,door,1,1,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P22,elmo,9,B10,bird2,book1,playground,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ambig,B,P22,elmo,10,B2,flower2,flower1,cane,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P22,elmo,11,B12,bus2,car1,flashlight,0,0,0,0,0,0,0,0,1,0,0,0,0,0
control,B,P22,elmo,12,B11,book2,bus1,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P22,elmo,13,B8,tree2,flower1,pencil,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P22,elmo,14,B13,car2,cat1,dolphin,1,1,0,0,0,0,0,0,1,0,0,0,0,0
ambig,B,P22,elmo,15,B6,spoon2,spoon1,comb,1,1,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P22,elmo,16,B14,cat2,chair1,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,1,D2,bird2,bird1,playground,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,2,D5,car2,car1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,3,D6,cat2,cat1,brush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,4,D14,spoon2,toothbrush1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,5,D12,clock2,shoe1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,6,D11,cup2,clock1,cake,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,7,D16,tree2,fish1,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,8,D3,book2,book1,apple,1,1,0,1,0,0,1,0,0,0,0,0,0,0
ambig,D,P12,elmo,9,D4,bus2,bus1,torch,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,10,D1,bike2,bike1,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,11,D15,toothbrush2,tree1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,12,D8,dog2,dog1,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,13,D9,fish2,flower1,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,14,D7,chair2,chair1,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,15,D13,shoe2,spoon1,paintbrush,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,16,D10,flower2,cup1,cane,1,1,0,0,0,0,1,0,0,0,0,0,0,0
control,B,P34,elmo,1,B13,car2,cat1,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P34,elmo,2,B7,toothbrush2,toothbrush1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P34,elmo,3,B16,dog2,bike1,rainbow,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P34,elmo,4,B10,bird2,book1,playground,0,0,0,0,0,0,1,0,0,0,0,0,0,0
control,B,P34,elmo,5,B12,bus2,car1,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P34,elmo,6,B9,bike2,bird1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
