,Condition,List,Participant,Phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space,target_fixate_dur,foil_fixate_dur,distractor_fixate_dur
0,control,C,P23,elmo,1,C11,cup1,clock2,cake,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.6,0.0,0.0
1,ambiguous,C,P23,elmo,2,C1,bike1,bike2,candle,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,566.6,200.0,433.4
2,control,C,P23,elmo,3,C12,clock1,shoe2,dress,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.6,0.0,0.0
3,ambiguous,C,P23,elmo,4,C4,bus1,bus2,torch,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.1,466.7,266.6
4,control,C,P23,elmo,5,C14,spoon1,toothbrush2,comb,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,366.6
5,ambiguous,C,P23,elmo,6,C5,car1,car2,dolphin,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.1,866.7
6,ambiguous,C,P23,elmo,7,C2,bird1,bird2,playground,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,499.9,0.0
7,ambiguous,C,P23,elmo,8,C3,book1,book2,apple,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,533.3,0.0
8,ambiguous,C,P23,elmo,9,C8,dog1,dog2,rainbow,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,767.3,0.0,0.0
9,control,C,P23,elmo,10,C16,tree1,fish2,pencil,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.1,0.0,0.0
10,control,C,P23,elmo,11,C15,toothbrush1,tree2,door,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,166.6,0.0,300.0
11,control,C,P23,elmo,12,C9,fish1,flower2,playdoh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.4000000000001,0.0,0.0
12,control,C,P23,elmo,13,C13,shoe1,spoon2,paintbrush,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,233.3,133.3,333.5
13,control,C,P23,elmo,14,C10,flower1,cup2,cane,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.9000000000001,100.0,0.0
14,ambiguous,C,P23,elmo,15,C7,chair1,chair2,kangaroo,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.3,0.0,0.0
15,ambiguous,C,P23,elmo,16,C6,cat1,cat2,brush,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,433.3,100.2,500.0
16,ambiguous,B,P22,elmo,1,B3,clock2,clock1,cake,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,533.2,0.0,166.7
17,control,B,P22,elmo,2,B15,chair2,dog1,kangaroo,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.7,199.9,0.0
18,ambiguous,B,P22,elmo,3,B1,fish2,fish1,playdoh,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.7,0.0,666.7
19,ambiguous,B,P22,elmo,4,B4,cup2,cup1,dress,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
20,ambiguous,B,P22,elmo,5,B5,shoe2,shoe1,paintbrush,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.6,133.5,0.0
21,control,B,P22,elmo,6,B9,bike2,bird1,candle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.5,0.0,0.0
22,control,B,P22,elmo,7,B16,dog2,bike1,rainbow,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.8,0.0,0.0
23,ambiguous,B,P22,elmo,8,B7,toothbrush2,toothbrush1,door,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.8,200.0,0.0
