,Ambig_trial_ID,foil_duration_L,foil_duration_R,foil_fixations_L,foil_fixations_R,informative_foil,participant_number,target_duration_L,target_duration_R,target_fixations_L,target_fixations_R
0,D1,166693,300099,1,1,0,P21,0,0,0,0
1,D6,0,0,0,0,0,P21,133407,166655,1,1
2,D2,0,0,0,0,0,P21,233327,300088,1,1
3,D7,0,0,0,0,0,P21,0,0,0,0
4,D5,0,0,0,0,0,P21,233316,133445,2,1
5,B5,0,0,0,0,0,P02,433223,232719,2,1
6,B2,0,0,0,0,0,P02,466761,466761,1,1
7,B4,433238,266549,2,2,0,P02,0,0,0,0
8,B3,0,0,0,0,0,P02,0,0,0,0
9,B1,0,0,0,0,0,P02,0,266639,0,1
10,A1,0,0,0,0,1,P13,233396,200135,2,2
11,A3,0,0,0,0,1,P13,233107,133003,1,1
12,A7,0,0,0,0,1,P13,299557,233329,2,2
13,A4,0,0,0,0,1,P13,266641,166655,1,1
14,A2,466486,466486,1,1,1,P13,0,0,0,0
15,A5,0,0,0,0,1,P13,166576,166576,1,1
16,C5,0,0,0,0,0,P03,433267,433267,2,2
17,C4,200000,200000,1,1,0,P03,233473,233473,1,1
18,C8,0,0,0,0,0,P03,0,0,0,0
19,C3,0,0,0,0,0,P03,0,133234,0,1
20,C1,233449,366771,1,1,0,P03,0,0,0,0
21,C2,0,0,0,0,0,P07,433102,433102,2,2
22,C1,0,0,0,0,0,P07,399846,399846,1,1
23,C3,0,0,0,0,0,P07,433275,200003,1,1
24,C5,0,0,0,0,0,P07,266824,266824,2,2
25,C8,466705,466705,1,1,0,P07,0,0,0,0
26,C7,0,0,0,0,0,P07,0,0,0,0
27,C4,0,0,0,0,0,P07,400269,366942,1,1
28,A1,0,0,0,0,0,P20,399753,399753,1,1
29,A7,433240,433240,1,1,0,P20,0,0,0,0
30,A3,0,0,0,0,0,P20,0,0,0,0
31,A4,166609,166609,1,1,1,P20,0,0,0,0
32,A2,0,0,0,0,0,P20,0,0,0,0
33,A5,0,0,0,0,0,P20,333425,333425,2,2
34,A6,0,0,0,0,0,P20,0,0,0,0
35,D3,399303,0,2,0,1,P24,0,0,0,0
36,D2,0,0,0,0,1,P24,0,0,0,0
37,D5,0,0,0,0,1,P24,433243,399950,1,1
38,D8,0,0,0,0,1,P24,433268,433268,1,1
39,D4,466095,466095,1,1,1,P24,0,0,0,0
40,D1,0,0,0,0,1,P24,266660,266660,1,1
41,D7,466611,466611,1,1,1,P24,0,0,0,0
42,D6,466597,466597,1,1,1,P24,0,0,0,0
43,D5,0,0,0,0,1,P28,233309,366543,1,1
44,D6,0,0,0,0,1,P28,0,0,0,0
45,D4,0,0,0,0,1,P28,233315,366641,2,2
46,D7,0,0,0,0,1,P28,399937,399937,2,2
47,D3,0,0,0,0,1,P28,0,399954,0,2
48,D1,0,0,0,0,1,P28,0,266656,0,2
49,A7,0,0,0,0,1,P38,466627,466627,1,1
50,A5,0,0,0,0,1,P38,433290,433290,2,2
51,A2,0,0,0,0,1,P38,468639,468639,1,1
52,A4,100143,100143,1,1,1,P38,133295,300029,1,1
53,A3,266615,266615,1,1,1,P38,0,0,0,0
54,A6,0,0,0,0,1,P38,399995,433326,2,2
55,A1,0,0,0,0,1,P38,0,0,0,0
56,C1,0,0,0,0,0,P23,399864,466571,1,1
57,C4,133285,133285,1,1,0,P23,0,0,0,0
58,C5,0,0,0,0,0,P23,0,0,0,0
59,C3,0,0,0,0,0,P23,333362,333362,1,1
60,C8,0,0,0,0,0,P23,400594,433896,3,2
61,C7,0,0,0,0,0,P23,366612,0,1,0
62,C6,100177,100177,1,1,0,P23,299931,333260,1,1
63,A3,0,0,0,0,0,P29,99929,0,1,0
64,A7,0,0,0,0,0,P29,0,0,0,0
65,A5,166788,166788,1,1,1,P29,133227,99889,1,1
