participant,TrialID,PresentationID,List,condition,phase,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,distractor_to_White Space,White Space_to_target,White Space_to_foil,White Space_to_distractor
P23,C11,1,C,control,start,cup1,clock2,cake,0,0,0,1,0,0,1,0,2,1,0,0,0,0
P23,C11,1,C,control,elmo,cup1,clock2,cake,0,0,1,0,1,1,0,0,0,0,0,0,0,0
P23,C11,1,C,control,500ms,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P23,C11,1,C,control,peppa,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P23,C1,2,C,ambig,start,bike1,bike2,candle,0,0,1,1,0,1,1,0,1,1,0,0,1,0
P23,C1,2,C,ambig,elmo,bike1,bike2,candle,0,0,2,0,0,1,2,0,2,0,0,0,0,0
P23,C1,2,C,ambig,500ms,bike1,bike2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P23,C1,2,C,ambig,peppa,bike1,bike2,candle,0,0,2,0,0,0,0,1,0,0,0,1,0,0
P23,C12,3,C,control,start,clock1,shoe2,dress,0,0,1,0,0,1,1,0,0,0,0,0,0,0
P23,C12,3,C,control,elmo,clock1,shoe2,dress,0,0,1,0,0,1,0,0,1,0,0,0,0,0
P23,C12,3,C,control,500ms,clock1,shoe2,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P23,C12,3,C,control,peppa,clock1,shoe2,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P23,C4,4,C,ambig,start,bus1,bus2,torch,0,0,1,0,0,0,1,1,1,1,0,0,1,1
P23,C4,4,C,ambig,elmo,bus1,bus2,torch,0,0,2,0,0,2,0,0,0,0,0,0,0,0
P23,C4,4,C,ambig,500ms,bus1,bus2,torch,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P23,C4,4,C,ambig,peppa,bus1,bus2,torch,0,0,1,0,0,2,0,0,0,1,0,0,0,0
P23,C14,5,C,control,start,spoon1,toothbrush2,comb,0,0,0,0,0,0,1,0,0,0,1,0,1,0
P23,C14,5,C,control,elmo,spoon1,toothbrush2,comb,0,0,0,1,1,1,0,0,1,1,0,0,0,0
