,participant,condition,list,trial_id,phase,target,foil,distractor,target_to_distractor,target_to_foil,distractor_to_target,distractor_to_foil,foil_to_target,foil_to_distractor,informative_target,informative_foil
0,P30,ambig,B,B5,start,shoe2,shoe1,paintbrush,0,1,0,0,1,0,False,False
0,P30,ambig,B,B5,elmo,shoe2,shoe1,paintbrush,0,1,0,0,0,0,False,False
0,P30,ambig,B,B5,500ms pause,shoe2,shoe1,paintbrush,0,0,0,0,0,0,False,False
0,P30,ambig,B,B5,peppa,shoe2,shoe1,paintbrush,0,0,0,0,0,0,False,False
0,P30,control,B,B13,start,car2,cat1,dolphin,1,2,1,1,2,1,True,True
0,P30,control,B,B13,elmo,car2,cat1,dolphin,0,1,0,0,2,0,True,True
0,P30,control,B,B13,500ms pause,car2,cat1,dolphin,0,0,0,0,0,0,True,True
0,P30,control,B,B13,peppa,car2,cat1,dolphin,0,0,0,2,0,3,True,True
0,P30,ambig,B,B2,start,flower2,flower1,cane,1,0,0,2,1,1,False,False
0,P30,ambig,B,B2,elmo,flower2,flower1,cane,0,0,0,1,1,0,False,False
0,P30,ambig,B,B2,500ms pause,flower2,flower1,cane,0,0,0,0,0,0,False,False
0,P30,ambig,B,B2,peppa,flower2,flower1,cane,0,3,0,0,1,0,False,False
0,P30,ambig,B,B4,start,cup2,cup1,dress,0,0,0,0,0,1,False,True
0,P30,ambig,B,B4,elmo,cup2,cup1,dress,0,3,2,0,1,0,False,True
0,P30,ambig,B,B4,500ms pause,cup2,cup1,dress,0,0,0,0,0,0,False,True
0,P30,ambig,B,B4,peppa,cup2,cup1,dress,0,3,0,0,6,0,False,True
0,P30,ambig,B,B8,start,tree2,tree1,pencil,0,0,0,0,0,0,True,False
0,P30,ambig,B,B8,elmo,tree2,tree1,pencil,3,3,4,0,2,0,True,False
0,P30,ambig,B,B8,500ms pause,tree2,tree1,pencil,0,0,1,0,0,0,True,False
0,P30,control,B,B16,start,dog2,bike1,rainbow,1,1,1,0,2,0,True,False
0,P30,control,B,B16,elmo,dog2,bike1,rainbow,0,0,0,0,0,0,True,False
0,P30,control,B,B16,500ms pause,dog2,bike1,rainbow,0,0,0,0,0,0,True,False
0,P30,control,B,B16,peppa,dog2,bike1,rainbow,0,0,0,0,0,0,True,False
0,P30,control,B,B10,start,bird2,book1,playground,2,0,0,2,1,1,True,False
0,P30,control,B,B10,elmo,bird2,book1,playground,2,0,3,0,2,1,True,False
0,P30,control,B,B10,500ms pause,bird2,book1,playground,0,0,0,0,0,0,True,False
0,P30,control,B,B10,peppa,bird2,book1,playground,0,2,1,2,0,2,True,False
0,P30,control,B,B14,start,cat2,chair1,hairbrush,1,0,1,1,1,0,False,False
0,P30,control,B,B14,elmo,cat2,chair1,hairbrush,0,1,0,0,1,0,False,False
0,P30,control,B,B14,500ms pause,cat2,chair1,hairbrush,0,2,0,0,0,0,False,False
0,P30,control,B,B14,peppa,cat2,chair1,hairbrush,0,1,1,0,0,1,False,False
0,P30,ambig,B,B3,start,clock2,clock1,cake,2,2,3,0,2,1,True,True
0,P30,ambig,B,B3,elmo,clock2,clock1,cake,3,1,5,0,1,1,True,True
0,P30,ambig,B,B3,500ms pause,clock2,clock1,cake,0,0,0,0,0,0,True,True
0,P30,ambig,B,B3,peppa,clock2,clock1,cake,0,4,0,1,1,1,True,True
0,P30,ambig,B,B7,start,toothbrush2,toothbrush1,door,1,0,0,0,1,1,True,True
0,P30,ambig,B,B7,elmo,toothbrush2,toothbrush1,door,1,1,1,1,0,1,True,True
0,P30,ambig,B,B7,500ms pause,toothbrush2,toothbrush1,door,0,0,0,0,0,0,True,True
0,P30,ambig,B,B7,peppa,toothbrush2,toothbrush1,door,0,0,0,0,0,1,True,True
0,P30,control,B,B11,start,book2,bus1,apple,0,0,0,0,0,0,False,False
0,P30,control,B,B11,elmo,book2,bus1,apple,2,2,2,0,2,0,False,False
0,P30,control,B,B11,500ms pause,book2,bus1,apple,0,0,0,0,0,0,False,False
0,P30,control,B,B11,peppa,book2,bus1,apple,0,3,1,2,3,2,False,False
0,P30,ambig,B,B6,start,spoon2,spoon1,comb,1,1,0,2,1,1,True,True
0,P30,ambig,B,B6,elmo,spoon2,spoon1,comb,0,1,1,0,1,0,True,True
0,P30,ambig,B,B6,500ms pause,spoon2,spoon1,comb,0,1,0,0,0,0,True,True
0,P30,ambig,B,B6,peppa,spoon2,spoon1,comb,0,0,0,2,0,1,True,True
0,P30,ambig,B,B1,start,fish2,fish1,playdoh,1,0,0,0,0,0,False,False
0,P30,ambig,B,B1,elmo,fish2,fish1,playdoh,1,1,1,1,2,0,False,False
0,P30,ambig,B,B1,500ms pause,fish2,fish1,playdoh,0,0,0,0,0,0,False,False
0,P30,ambig,B,B1,peppa,fish2,fish1,playdoh,0,1,0,2,2,0,False,False
0,P30,control,B,B15,start,chair2,dog1,kangaroo,0,0,0,2,0,2,True,False
0,P30,control,B,B15,elmo,chair2,dog1,kangaroo,2,0,1,0,2,0,True,False
0,P30,control,B,B15,500ms pause,chair2,dog1,kangaroo,0,0,0,1,0,0,True,False
0,P30,control,B,B15,peppa,chair2,dog1,kangaroo,0,0,0,1,0,2,True,False
0,P30,control,B,B12,start,bus2,car1,flashlight,1,1,1,0,2,0,True,True
0,P30,control,B,B12,elmo,bus2,car1,flashlight,0,0,2,0,0,0,True,True
0,P30,control,B,B12,500ms pause,bus2,car1,flashlight,0,1,0,0,0,0,True,True
0,P30,control,B,B12,peppa,bus2,car1,flashlight,0,0,1,1,0,2,True,True
0,P30,control,B,B9,start,bike2,bird1,candle,1,0,1,1,0,0,False,False
0,P30,control,B,B9,elmo,bike2,bird1,candle,0,0,0,0,1,0,False,False
0,P30,control,B,B9,500ms pause,bike2,bird1,candle,0,0,0,0,0,0,False,False
0,P30,control,B,B9,peppa,bike2,bird1,candle,0,0,0,4,0,1,False,False
0,P30,ambig,B,B8,peppa,tree2,tree1,pencil,0,2,0,2,0,2,True,False
0,P24,control,D,D12,start,clock2,shoe1,dress,1,0,1,0,0,1,True,False
0,P24,control,D,D12,elmo,clock2,shoe1,dress,0,0,2,0,0,0,True,False
0,P24,control,D,D12,500ms pause,clock2,shoe1,dress,0,0,0,0,0,0,True,False
0,P24,control,D,D12,peppa,clock2,shoe1,dress,0,0,0,0,2,0,True,False
